query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1,router_recv_result_1->router_enqueue_2,router_enqueue_2->router_dequeue_2,router_dequeue_2->worker_start_2,worker_start_2->worker_done_2,worker_done_2->router_recv_result_2,router_recv_result_2->router_enqueue_3,router_enqueue_3->router_dequeue_3,router_dequeue_3->worker_start_3,worker_start_3->worker_done_3,worker_done_3->router_recv_result_3,router_recv_result_3->router_enqueue_4,router_enqueue_4->router_dequeue_4,router_dequeue_4->worker_start_4,worker_start_4->worker_done_4,worker_done_4->router_recv_result_4,router_recv_result_4->router_enqueue_5,router_enqueue_5->router_dequeue_5,router_dequeue_5->worker_start_5,worker_start_5->worker_done_5,worker_done_5->router_recv_result_5
100,6644.653,3.067,717.289,53.806,50.128,337.427,12.094,294.302,30.118,25.866,234.853,11.697,299.896,31.926,27.979,69.619,12.548,293.616,28.408,29.795,248.487,11.277,292.921,30.241,2910.123,732.998,15.45,710.98,50.975
101,6631.349,3.065,717.289,53.836,54.572,332.957,12.09,294.302,30.147,28.831,231.86,11.697,299.895,31.958,31.807,65.763,12.545,293.615,28.422,33.04,245.231,11.275,292.92,30.268,2910.913,732.184,15.446,710.981,50.994
102,7392.298,2.838,717.028,46.177,22.748,4.895,3.521,322.917,4.325,49.75,154.172,1.367,317.184,2.273,56.591,54.904,1.273,297.955,2.582,5.034,305.764,1.134,287.518,2.529,2622.387,729.826,15.445,710.98,51.012
103,7379.314,2.829,717.028,49.669,24.476,375.216,12.621,319.224,29.673,13.572,155.769,13.43,323.249,28.795,16.396,3.731,4.407,285.001,2.404,42.172,246.518,0.949,281.641,5.314,2332.873,729.726,15.442,710.98,51.03
104,7365.925,2.824,717.028,49.697,26.709,372.962,12.619,319.222,29.873,23.479,145.675,13.42,323.246,30.659,18.491,328.619,10.371,294.591,33.675,13.039,218.535,17.254,313.975,35.059,1936.174,729.484,15.44,710.98,51.048
105,7352.767,2.821,717.028,49.72,31.485,368.165,12.618,319.22,29.913,28.871,140.249,13.417,323.244,30.698,20.542,326.549,10.356,294.589,35.563,13.448,216.245,17.25,313.971,36.983,2686.506,754.454,12.916,698.572,26.382
106,7339.942,2.818,717.028,49.74,36.076,363.554,12.618,319.221,29.942,30.988,138.105,13.414,323.245,30.728,32.454,314.61,10.352,294.589,35.603,21.041,208.612,17.25,313.972,37.023,2687.855,753.072,12.912,698.574,67.063
107,7326.785,2.815,717.028,49.762,41.734,357.875,12.618,319.22,29.972,33.388,135.679,13.411,323.244,30.761,38.471,308.565,10.349,294.587,35.638,21.278,208.342,17.249,313.971,37.059,2688.067,752.826,12.912,698.572,67.09
108,7313.2,2.811,717.028,49.783,44.806,354.784,12.617,319.219,30.001,35.768,133.273,13.409,323.243,30.791,40.328,306.682,10.346,294.585,35.672,23.372,206.217,17.248,313.97,37.09,2688.401,752.462,12.911,698.572,67.113
109,7300.301,2.809,717.027,49.805,45.158,354.411,12.618,319.217,30.03,35.94,133.077,13.405,323.242,30.821,40.779,306.205,10.343,294.584,35.704,23.549,206.01,17.247,313.969,37.121,2692.443,748.391,12.91,698.571,67.135
110,8056.336,2.904,711.647,45.224,29.591,5.951,3.459,312.442,2.378,53.366,130.912,1.552,310.462,2.349,41.438,331.848,1.452,313.51,4.682,33.171,245.083,1.312,300.947,2.53,3159.511,755.211,15.742,700.323,47.101
111,8043.035,2.897,711.647,48.676,34.172,364.602,10.393,293.402,28.597,24.038,130.205,12.302,321.733,30.426,19.56,300.82,11.534,312.433,25.931,15.797,221.203,11.38,298.906,31.886,2787.726,752.669,15.735,700.32,75.0
112,8030.097,2.895,711.647,48.7,36.023,362.737,10.386,293.401,28.795,24.052,130.0,12.296,321.732,32.139,18.153,300.52,11.528,312.433,27.652,14.513,220.771,11.377,298.904,33.659,2790.01,748.612,15.733,700.319,75.021
113,8017.349,2.893,711.646,48.723,38.69,360.052,10.382,293.401,28.833,27.47,126.546,12.294,321.732,32.171,18.657,299.986,11.527,312.431,27.693,20.306,214.94,11.376,298.903,33.698,2790.185,748.4,15.732,700.318,75.038
114,8003.82,2.891,711.647,48.744,41.587,357.135,10.381,293.399,28.868,32.236,121.748,12.293,321.73,32.199,23.503,295.115,11.525,312.431,27.728,23.211,212.001,11.376,298.902,33.731,2790.208,748.347,15.73,700.317,75.057
115,7990.719,2.89,711.645,48.767,41.749,356.953,10.379,293.4,28.898,32.709,121.245,12.293,321.729,32.223,26.314,292.281,11.525,312.43,27.759,23.375,211.808,11.374,298.902,33.761,2790.421,748.106,15.729,700.316,75.074
116,7977.798,2.887,711.645,48.788,43.716,354.968,10.376,293.399,28.928,36.776,117.151,12.292,321.728,32.247,28.131,290.443,11.522,312.43,27.789,30.031,205.124,11.373,298.901,33.79,3557.555,771.858,13.309,719.214,27.149
117,7965.049,2.885,711.646,48.808,43.944,354.721,10.375,293.398,28.957,37.221,116.678,12.291,321.729,32.27,28.476,290.076,11.52,312.43,27.819,30.386,204.74,11.373,298.9,33.817,3558.964,770.431,13.305,719.213,59.349
118,8714.885,2.827,716.289,43.933,24.997,4.682,4.798,294.514,2.474,57.869,99.213,1.636,307.408,5.208,43.44,312.582,1.113,302.657,2.223,31.961,241.263,1.2,311.42,2.389,3244.528,770.17,13.305,719.21,59.368
119,8701.722,2.821,716.289,46.52,27.407,354.527,13.24,292.169,28.624,18.542,105.037,11.694,325.163,30.506,17.556,264.19,12.053,285.592,37.886,16.419,255.217,12.666,300.435,27.269,2858.879,770.086,13.303,719.211,59.383
120,8688.421,2.82,716.288,46.536,32.373,349.559,13.23,292.169,28.818,22.173,101.217,11.69,325.16,32.429,18.38,261.449,12.047,285.594,39.755,17.221,252.554,12.659,300.432,28.436,2857.979,769.818,13.303,719.209,59.399
121,8675.676,2.819,716.287,46.552,34.126,347.795,13.226,292.168,28.856,24.89,98.463,11.69,325.159,32.458,22.398,257.403,12.047,285.592,39.787,17.853,251.895,12.657,300.431,28.452,3651.456,768.073,15.518,697.976,29.463
122,8662.322,2.818,716.286,47.145,33.648,347.684,13.223,292.167,28.883,27.708,95.62,11.689,325.158,32.483,22.691,257.086,12.046,285.592,39.813,21.154,248.571,12.655,300.43,28.467,3652.965,766.557,15.514,697.974,56.122
123,8649.12,2.815,716.286,47.245,36.424,344.812,13.22,292.166,28.909,30.862,92.44,11.69,325.158,32.505,23.112,256.643,12.045,285.592,39.836,26.926,242.779,12.654,300.428,28.482,3653.041,766.467,15.516,697.971,56.143
124,8636.292,2.813,716.285,47.292,38.555,342.638,13.216,292.166,28.934,31.089,92.193,11.687,325.156,32.528,27.508,252.225,12.044,285.592,39.859,27.102,242.583,12.652,300.427,28.496,3653.215,766.281,15.515,697.97,56.161
