query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1,router_recv_result_1->router_enqueue_2,router_enqueue_2->router_dequeue_2,router_dequeue_2->worker_start_2,worker_start_2->worker_done_2,worker_done_2->router_recv_result_2,router_recv_result_2->router_enqueue_3,router_enqueue_3->router_dequeue_3,router_dequeue_3->worker_start_3,worker_start_3->worker_done_3,worker_done_3->router_recv_result_3,router_recv_result_3->router_enqueue_4,router_enqueue_4->router_dequeue_4,router_dequeue_4->worker_start_4,worker_start_4->worker_done_4,worker_done_4->router_recv_result_4,router_recv_result_4->router_enqueue_5,router_enqueue_5->router_dequeue_5,router_dequeue_5->worker_start_5,worker_start_5->worker_done_5,worker_done_5->router_recv_result_5
100,2778.848,13.91,744.23,686.97,24419.876,313.353,12.022,283.545,2.715,31.708,1.549,1.263,320.272,6.461,6.608,1.712,1.353,315.535,2.287,6.214,1.535,1.35,287.878,2.426,7.163,480.05,1.655,689.614,5.998
101,2765.669,13.91,744.23,686.981,24758.008,290.52,12.408,289.83,2.682,31.556,9.411,0.949,314.409,5.431,8.422,1.564,0.914,309.674,2.028,5.942,1.472,1.223,292.667,5.978,4.302,157.485,1.646,689.614,8.547
102,2752.403,13.909,744.23,686.993,25072.929,297.584,12.046,285.959,2.699,31.014,14.845,1.198,304.696,3.6,5.681,7.372,0.867,307.772,2.048,5.317,1.415,1.087,311.978,5.009,5.848,525.554,1.216,687.772,6.553
103,2739.113,13.91,744.228,687.004,25394.918,292.675,12.36,283.815,2.905,41.138,1.56,1.067,282.375,2.576,4.278,31.997,0.82,309.267,2.293,4.478,8.099,0.981,302.322,5.409,4.584,216.602,1.206,687.773,9.978
104,2725.893,13.91,744.228,687.015,25735.833,276.329,13.372,309.358,4.988,34.097,1.644,1.494,296.614,7.105,4.41,1.681,1.516,320.671,2.135,4.656,2.106,1.833,319.645,6.694,12.427,546.708,1.642,689.819,5.259
105,2712.819,13.911,744.226,687.026,26046.567,313.458,11.969,310.851,2.428,31.203,1.872,1.861,327.121,4.56,6.137,1.634,1.351,324.106,1.978,6.21,1.812,1.572,324.917,6.172,6.044,171.493,1.633,689.819,7.845
106,2699.662,13.911,744.226,687.037,26384.013,317.648,12.833,289.317,2.482,42.225,5.301,1.07,305.284,2.313,5.829,20.544,0.857,308.003,2.264,5.905,23.657,0.808,313.575,6.211,6.519,547.789,2.429,687.957,5.062
107,2686.42,13.91,744.226,687.049,26725.806,296.942,12.262,288.648,2.54,31.569,6.263,1.046,281.01,2.377,4.001,48.968,1.062,308.678,2.114,6.296,32.589,1.326,313.878,4.922,6.629,225.52,2.42,687.957,8.759
108,2673.206,13.911,744.224,687.06,27057.534,285.698,12.049,289.472,2.601,29.906,1.876,1.576,297.5,6.71,9.09,20.726,0.735,309.745,2.262,4.385,42.342,0.75,303.367,2.318,6.305,616.464,1.676,689.46,10.37
109,2659.84,13.91,744.224,687.071,27367.297,295.988,12.185,284.222,2.552,31.441,1.592,1.461,321.55,5.776,6.117,1.355,0.933,310.016,1.954,5.796,32.246,0.826,279.698,2.106,6.026,332.274,1.666,689.461,13.024
110,2646.634,13.91,744.223,687.081,27686.718,292.028,14.381,288.091,2.55,30.334,11.576,0.937,304.396,5.418,6.044,3.319,0.865,309.06,2.096,5.96,3.062,0.787,280.118,5.832,12.946,36.888,1.661,689.461,13.064
111,2633.276,13.91,744.223,687.092,28003.017,297.413,12.303,287.22,2.391,30.612,5.255,0.941,304.595,3.593,5.517,6.353,1.053,308.968,2.047,6.88,1.844,1.641,320.3,6.583,8.704,390.157,2.007,689.786,5.161
112,2619.965,13.91,744.222,687.103,28323.766,294.912,12.301,283.17,2.573,31.694,1.584,0.985,282.955,2.449,4.56,32.313,0.768,309.886,2.116,5.545,18.572,0.88,313.315,6.683,6.484,69.876,1.998,689.786,7.692
113,2606.43,13.91,744.222,687.114,28642.149,290.988,12.257,283.461,6.819,31.116,1.649,2.019,293.1,7.159,4.139,12.567,0.72,308.636,2.216,4.122,30.105,0.848,312.398,5.42,5.469,449.34,1.54,689.9,5.882
114,2593.34,13.91,744.221,687.123,28957.29,295.135,16.266,313.907,2.465,31.507,1.649,1.524,327.788,5.002,4.368,1.441,1.525,325.664,2.242,5.053,1.584,2.011,317.856,2.465,5.282,84.675,1.531,689.9,8.442
115,2580.528,13.909,744.221,687.134,29280.876,320.863,17.046,314.966,2.405,38.916,1.601,1.324,318.039,5.166,5.249,1.451,1.52,318.13,2.223,3.96,1.559,0.872,286.922,2.298,4.579,476.439,1.529,688.064,4.348
116,2567.399,13.91,744.22,687.145,29625.73,327.661,12.129,318.505,2.574,46.284,1.63,1.858,333.823,2.614,7.418,1.413,1.474,324.771,2.27,17.212,1.601,1.63,294.349,7.144,5.573,68.741,1.52,688.064,6.918
117,2554.436,13.908,744.219,687.156,29984.139,322.526,12.711,317.001,2.517,40.666,1.464,1.158,286.391,2.588,4.353,36.607,0.734,311.059,2.315,4.943,2.369,1.098,313.398,5.891,5.149,443.664,1.529,688.876,5.395
118,3986.023,14.648,734.902,601.326,28991.753,316.19,12.52,316.474,2.462,37.374,1.622,1.426,296.154,5.561,4.59,1.42,1.283,316.346,2.273,4.125,1.491,1.029,305.93,2.319,4.397,125.683,1.519,688.878,7.952
119,3972.825,14.643,734.902,607.206,29338.935,313.883,14.143,314.331,2.385,34.737,1.933,1.737,319.285,2.467,4.7,1.842,1.375,326.38,2.079,5.567,1.486,1.529,295.146,2.371,4.648,453.778,1.518,688.527,4.428
120,3959.471,14.643,734.9,607.22,29679.909,323.332,12.138,312.005,2.412,37.551,1.649,1.226,287.875,2.37,4.387,17.124,0.861,308.868,2.203,4.597,2.218,1.224,286.691,6.986,4.513,144.595,1.509,688.527,6.995
121,3946.218,14.644,734.898,607.234,30026.397,324.911,14.65,315.776,3.019,38.597,1.788,1.322,295.974,6.722,4.342,1.392,1.473,317.951,2.442,4.011,1.682,1.537,327.298,5.49,5.176,439.648,1.544,686.864,5.378
122,3932.88,14.645,734.896,607.248,30385.229,316.812,12.646,317.363,2.697,29.459,1.525,1.778,329.277,4.966,7.396,1.785,1.398,324.989,2.147,5.704,1.556,1.335,317.652,2.197,5.699,67.987,1.534,686.864,8.009
123,3919.969,14.646,734.895,607.26,30738.531,312.285,12.165,312.483,2.45,31.007,1.445,1.068,306.337,5.648,4.107,13.693,0.99,308.368,2.368,4.729,11.776,1.101,279.72,2.309,4.418,480.837,1.313,689.075,5.329
124,3906.84,14.646,734.893,607.272,31074.959,320.273,12.184,317.69,4.24,30.333,1.441,1.666,318.532,6.359,4.407,1.387,1.962,324.216,2.414,4.439,1.498,1.369,294.757,6.304,5.155,102.251,1.302,689.077,8.055
125,3893.856,14.647,734.892,607.283,31418.752,327.126,11.947,314.482,2.503,40.054,1.588,1.706,325.079,5.511,4.123,1.389,1.461,326.414,2.351,4.402,1.471,1.357,323.843,6.118,4.761,409.668,1.488,687.632,4.451
126,3880.971,14.65,734.89,607.293,31770.871,329.697,14.098,316.308,2.634,38.598,1.58,2.145,316.746,5.267,4.395,2.234,1.168,318.538,2.339,4.349,1.955,1.266,306.87,2.635,4.553,87.86,1.478,687.633,7.095
127,3867.845,14.651,734.889,607.304,32122.431,335.343,12.718,315.082,2.5,28.187,2.147,1.677,312.884,6.796,8.909,1.666,1.448,322.265,2.121,10.682,2.237,1.378,296.808,2.298,5.066,437.502,1.494,686.56,4.576
128,3854.914,14.653,734.887,607.315,32481.971,320.57,13.231,286.17,2.631,43.661,1.618,1.466,321.611,5.22,8.926,1.428,1.012,316.093,1.946,5.368,1.475,1.223,292.497,7.312,4.475,112.241,1.484,686.561,7.243
129,3841.883,14.652,734.886,607.326,32824.457,309.382,15.521,293.564,5.824,37.654,1.604,0.948,310.376,2.914,4.086,2.76,0.945,308.069,2.123,3.974,1.652,0.987,319.954,5.576,4.474,470.42,1.335,686.793,4.559
130,3828.911,14.653,734.884,607.338,33156.459,316.388,15.09,310.191,6.744,36.841,1.607,1.432,297.026,2.444,4.433,1.722,1.744,321.705,2.341,4.457,1.481,1.887,314.843,2.415,4.883,121.132,1.324,686.794,7.218
131,3815.798,14.653,734.883,607.349,33494.925,333.122,19.171,310.284,2.61,36.997,1.668,1.798,294.566,5.526,3.879,1.363,1.262,325.234,2.223,4.01,1.542,1.135,292.574,2.332,4.515,481.697,1.451,688.23,4.614
132,3802.749,14.655,734.881,607.36,33849.663,333.251,13.316,314.031,2.477,29.822,1.682,1.45,320.561,2.479,4.042,1.374,1.488,324.336,2.033,5.524,1.48,1.346,294.538,7.037,4.283,106.221,1.441,688.23,7.254
133,3789.607,14.655,734.88,607.372,34205.619,322.627,11.984,311.454,2.542,36.738,1.609,1.087,294.517,2.529,4.872,8.166,1.035,308.219,2.132,4.488,1.467,1.255,318.258,5.585,5.185,467.821,1.384,687.448,4.689
134,3776.465,14.655,734.879,607.382,34551.829,325.069,12.629,320.253,2.47,37.82,1.601,1.829,295.927,6.803,4.213,1.455,1.269,325.621,2.243,4.279,1.435,1.468,319.572,2.405,4.617,94.383,1.375,687.448,7.343
135,3762.94,14.655,734.878,607.394,34899.444,336.059,13.217,317.743,2.666,36.483,1.621,1.46,327.973,5.054,4.498,1.742,1.517,324.828,2.161,3.997,1.484,1.277,286.548,2.295,4.696,438.425,1.316,688.475,5.146
136,3749.95,14.657,734.876,607.405,35257.647,334.179,17.238,310.398,5.675,38.351,1.605,1.101,319.786,2.404,4.77,1.603,1.456,318.169,2.151,4.742,1.577,1.749,294.773,7.368,5.266,83.18,1.308,688.474,7.71
137,3736.778,14.657,734.875,607.416,35614.905,334.154,17.847,313.507,2.434,30.519,1.638,1.802,295.18,2.42,5.042,1.431,0.771,314.05,2.143,4.327,1.564,1.047,320.35,4.962,6.076,436.348,1.447,685.75,5.821
138,3723.448,14.658,734.873,607.428,35971.587,327.415,12.323,283.613,2.098,40.528,1.616,0.939,295.362,6.347,4.599,1.413,1.028,312.626,2.317,4.563,3.469,0.88,302.229,5.314,4.291,127.96,1.438,685.751,7.298
139,3710.158,14.659,734.871,607.44,36322.506,301.131,12.634,291.886,6.537,40.605,1.676,1.397,326.238,5.061,5.015,1.451,1.735,324.785,2.112,4.783,1.562,1.893,318.154,2.389,4.932,428.425,1.528,685.926,5.733
140,3696.916,14.659,734.87,607.451,36646.447,314.242,17.388,314.598,2.182,34.806,1.593,1.53,316.349,2.333,4.308,1.412,0.905,316.38,2.085,3.991,1.44,0.931,282.731,2.405,4.376,134.468,1.525,685.928,8.249
141,3683.75,14.66,734.869,607.462,36983.499,331.003,12.266,314.957,2.156,40.783,1.583,1.316,295.558,2.436,4.065,1.389,0.961,314.694,2.224,3.985,1.474,1.537,294.388,5.4,4.369,482.398,1.453,688.222,6.016
142,3668.776,14.66,734.868,607.472,37337.919,333.054,13.16,320.223,2.128,41.321,1.439,1.458,295.38,5.104,4.665,1.361,1.88,326.601,2.244,4.501,1.52,1.953,318.632,2.494,5.078,80.327,1.444,688.223,8.558
143,3655.478,14.661,734.866,607.484,37693.73,339.28,18.361,314.587,2.186,34.429,1.587,1.971,318.509,2.355,4.187,1.456,1.534,325.196,2.244,3.99,1.465,1.185,291.736,2.531,4.584,433.39,1.326,688.167,6.07
144,3642.393,14.662,734.864,607.496,38056.33,331.505,12.956,314.475,2.318,45.04,1.565,1.273,300.136,2.571,4.087,1.338,1.007,315.658,2.213,4.175,2.13,1.437,294.068,6.813,4.683,94.715,1.316,688.168,7.836
145,3629.308,14.662,734.863,607.507,38419.1,321.664,12.648,318.208,2.206,41.713,1.551,1.398,291.438,6.698,4.677,1.351,1.723,324.034,2.142,4.618,1.706,1.893,329.054,5.603,5.265,398.953,1.1,686.502,2.377
146,3616.284,14.663,734.862,607.518,38777.319,324.374,18.24,329.373,2.334,44.063,1.55,2.02,327.516,4.865,4.368,1.45,1.69,325.683,2.286,4.094,1.479,1.649,317.017,5.329,5.558,687.796,1.437,685.984,5.963
147,3603.287,14.663,734.861,607.529,39123.67,354.68,18.982,313.083,2.16,42.687,1.522,1.127,316.359,4.954,4.378,1.484,1.302,320.521,2.178,4.242,1.412,0.964,309.623,6.958,4.382,353.386,1.427,685.984,8.653
148,3590.309,14.663,734.86,607.54,39504.142,335.824,12.033,316.145,2.26,47.628,1.541,1.448,320.558,2.278,4.699,1.452,1.733,326.569,2.201,4.506,1.505,1.836,327.806,4.876,6.2,658.721,1.501,687.022,6.036
149,3576.958,14.664,734.859,607.55,39863.863,333.346,12.867,320.767,2.273,50.049,1.513,1.746,296.124,2.375,3.902,1.394,1.01,312.693,2.188,4.316,12.103,0.906,304.019,2.517,4.56,351.43,1.494,687.022,8.675
150,4920.409,12.99,728.651,657.605,38830.53,327.152,21.802,309.526,6.016,40.04,1.559,1.351,295.527,5.098,3.693,1.404,1.403,324.635,2.327,4.163,1.495,1.395,297.778,2.417,11.821,693.138,1.351,687.925,5.952
