query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1,router_recv_result_1->router_enqueue_2,router_enqueue_2->router_dequeue_2,router_dequeue_2->worker_start_2,worker_start_2->worker_done_2,worker_done_2->router_recv_result_2,router_recv_result_2->router_enqueue_3,router_enqueue_3->router_dequeue_3,router_dequeue_3->worker_start_3,worker_start_3->worker_done_3,worker_done_3->router_recv_result_3,router_recv_result_3->router_enqueue_4,router_enqueue_4->router_dequeue_4,router_dequeue_4->worker_start_4,worker_start_4->worker_done_4,worker_done_4->router_recv_result_4,router_recv_result_4->router_enqueue_5,router_enqueue_5->router_dequeue_5,router_dequeue_5->worker_start_5,worker_start_5->worker_done_5,worker_done_5->router_recv_result_5
100,55939.978,0.716,724.146,2.616,6.077,1.413,1.832,294.078,1.857,4.498,1.552,1.412,321.224,5.136,4.757,1.484,1.668,327.028,5.117,4.603,1.542,1.492,294.038,6.237,3.999,1.421,0.879,697.745,2.111
101,56655.416,0.945,699.838,2.655,5.517,1.408,1.389,296.015,6.097,5.102,1.588,1.878,318.466,5.274,5.056,1.505,2.255,317.906,5.407,4.771,1.556,1.865,327.334,4.623,5.063,2.179,1.747,702.409,2.146
102,57347.452,0.67,699.701,6.299,5.965,1.378,2.104,326.761,4.682,4.341,1.727,1.379,317.564,2.189,4.523,1.483,1.47,321.003,2.298,4.631,1.558,1.348,320.889,4.553,4.127,1.424,1.026,692.143,2.007
103,58042.708,0.811,728.879,5.355,5.56,1.371,1.481,319.904,4.851,5.069,1.528,1.927,296.225,2.267,5.353,1.453,1.938,293.496,2.245,4.862,1.524,1.903,317.41,5.999,4.618,16.628,1.042,685.837,2.206
104,58766.174,0.627,724.345,5.833,9.571,1.395,1.887,317.376,6.141,4.451,1.579,1.404,295.76,5.848,4.644,1.485,1.553,297.165,2.336,4.176,1.572,1.384,326.846,4.744,4.176,1.535,1.433,703.397,2.153
105,59487.56,0.542,701.891,3.851,5.592,1.407,1.439,325.857,4.583,5.118,1.512,1.963,327.626,4.175,4.975,1.526,2.174,296.587,6.83,4.69,1.465,2.094,320.409,5.282,4.554,1.539,1.615,701.391,2.14
106,60182.5,0.641,699.845,4.85,5.904,1.399,1.774,315.1,4.711,4.421,1.606,1.433,318.884,2.2,7.335,2.273,1.41,326.282,6.911,4.73,1.599,1.405,318.153,5.937,4.254,1.398,1.06,691.608,2.128
107,60876.167,0.851,725.352,5.557,5.664,1.46,1.386,314.985,5.986,5.009,1.537,1.84,296.259,2.167,5.357,1.656,1.987,317.329,6.253,4.704,1.571,2.218,326.76,6.236,4.636,1.559,9.884,722.605,2.081
108,61595.888,0.666,723.122,2.694,5.942,1.45,1.872,328.154,4.528,4.237,1.628,1.46,294.109,6.138,5.172,1.495,1.503,317.432,7.264,4.681,1.535,1.568,327.479,5.034,3.957,1.435,0.795,686.558,2.183
109,62310.992,1.055,699.587,2.614,5.449,1.465,1.36,318.951,4.861,4.639,1.578,1.826,330.139,2.25,5.31,1.497,1.877,325.92,5.797,4.825,1.658,1.855,318.057,4.631,4.695,1.694,7.061,718.507,2.0
