query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1,router_recv_result_1->router_enqueue_2,router_enqueue_2->router_dequeue_2,router_dequeue_2->worker_start_2,worker_start_2->worker_done_2,worker_done_2->router_recv_result_2,router_recv_result_2->router_enqueue_3,router_enqueue_3->router_dequeue_3,router_dequeue_3->worker_start_3,worker_start_3->worker_done_3,worker_done_3->router_recv_result_3,router_recv_result_3->router_enqueue_4,router_enqueue_4->router_dequeue_4,router_dequeue_4->worker_start_4,worker_start_4->worker_done_4,worker_done_4->router_recv_result_4,router_recv_result_4->router_enqueue_5,router_enqueue_5->router_dequeue_5,router_dequeue_5->worker_start_5,worker_start_5->worker_done_5,worker_done_5->router_recv_result_5
100,28868.653,1.125,737.814,10.475,9.074,1.906,2.388,317.35,5.019,6.85,1.573,1.383,324.064,6.152,6.402,1.636,1.4,298.177,6.846,4.581,1.624,1.494,329.679,5.688,5.684,346.612,1.336,689.106,6.092
101,28855.682,1.116,737.815,12.63,8.982,326.574,1.094,305.585,2.158,5.242,25.703,1.095,314.104,5.598,4.973,1.603,1.235,316.174,5.306,6.913,1.52,1.106,302.712,5.431,4.578,35.75,1.326,689.107,7.945
102,29593.778,1.049,737.175,10.15,9.138,2.215,1.789,326.471,5.224,6.857,1.557,1.463,318.692,4.803,6.725,1.867,1.571,319.261,5.37,6.589,1.493,1.526,320.093,6.31,6.653,277.776,1.303,687.209,5.659
103,29580.303,1.04,737.176,12.249,9.483,335.254,1.265,302.377,4.713,4.907,19.731,0.853,302.523,7.187,4.764,19.882,0.785,304.177,2.465,4.581,23.606,0.852,314.444,5.595,4.511,654.011,1.413,714.002,6.212
104,30317.434,1.297,735.098,10.253,8.924,2.05,2.304,317.799,6.501,7.21,1.535,2.108,331.953,2.351,6.785,1.632,1.857,294.54,2.323,4.675,2.143,2.035,318.671,5.174,5.899,253.005,1.405,714.002,8.784
105,30304.095,1.287,735.099,12.435,9.008,328.368,1.285,313.424,6.08,4.789,19.205,0.946,318.301,2.428,4.467,1.529,1.028,288.249,6.969,4.35,11.485,0.89,302.797,6.186,4.643,666.905,1.67,691.809,4.654
106,31039.429,0.967,736.121,10.353,9.241,2.563,2.325,326.219,5.099,6.86,1.549,1.476,327.064,4.47,6.275,1.509,1.466,326.789,5.374,6.156,1.719,1.505,323.139,4.511,6.207,184.529,1.661,691.81,7.325
107,31026.111,0.959,736.121,12.636,9.746,335.421,1.201,304.672,2.17,5.582,27.433,1.297,302.759,5.641,5.624,26.267,1.02,304.768,2.439,4.812,23.913,1.029,304.44,5.699,4.634,573.832,1.408,687.817,4.599
108,31762.669,1.294,735.762,10.233,8.999,3.561,1.845,296.14,2.425,7.027,1.863,1.42,320.17,5.852,6.416,1.521,1.484,296.973,2.412,4.205,1.539,1.472,317.924,1.938,6.232,215.85,1.397,687.817,7.183
109,31749.222,1.285,735.763,12.426,10.591,302.215,1.303,280.384,5.872,5.141,43.637,0.891,313.987,5.608,4.805,1.529,0.941,292.429,2.414,4.098,8.653,0.919,280.284,2.263,4.354,629.0,1.381,687.436,4.539
