query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1,router_recv_result_1->router_enqueue_2,router_enqueue_2->router_dequeue_2,router_dequeue_2->worker_start_2,worker_start_2->worker_done_2,worker_done_2->router_recv_result_2,router_recv_result_2->router_enqueue_3,router_enqueue_3->router_dequeue_3,router_dequeue_3->worker_start_3,worker_start_3->worker_done_3,worker_done_3->router_recv_result_3,router_recv_result_3->router_enqueue_4,router_enqueue_4->router_dequeue_4,router_dequeue_4->worker_start_4,worker_start_4->worker_done_4,worker_done_4->router_recv_result_4,router_recv_result_4->router_enqueue_5,router_enqueue_5->router_dequeue_5,router_dequeue_5->worker_start_5,worker_start_5->worker_done_5,worker_done_5->router_recv_result_5
100,3433.608,7.135,750.556,157.032,9585.44,299.306,10.355,317.701,25.08,12.253,227.26,4.343,286.97,14.71,9.638,34.265,4.629,286.193,10.106,9.646,262.702,4.487,281.77,10.27,9.874,483.774,4.134,728.253,24.544
101,3420.287,7.135,750.555,157.044,9585.592,299.145,10.353,317.701,25.119,14.945,224.532,4.339,286.97,14.748,9.925,33.944,4.625,286.193,10.145,15.897,256.417,4.482,281.77,10.312,10.196,483.415,4.13,728.251,24.593
102,4321.442,7.769,720.637,175.492,8992.382,341.717,7.251,291.211,2.209,36.074,208.828,1.022,283.124,2.322,21.206,37.143,1.207,300.124,2.31,14.862,250.377,1.003,302.343,5.18,15.974,169.308,4.127,728.251,24.622
103,4307.958,7.769,720.635,178.806,9348.887,311.15,8.452,308.965,7.739,19.764,168.694,4.479,288.454,10.609,11.716,46.102,4.211,287.415,7.337,9.036,261.805,3.706,304.754,8.144,9.524,609.657,4.705,725.872,12.4
104,4294.643,7.769,720.635,178.82,9351.805,308.226,8.447,308.965,17.26,13.248,165.698,4.468,288.455,13.014,11.136,44.288,4.199,287.416,8.931,7.861,261.399,3.693,304.754,9.905,9.232,608.198,4.696,725.87,25.44
105,4281.593,7.77,720.633,178.833,9352.27,307.75,8.445,308.965,17.298,16.038,162.875,4.464,288.454,13.052,11.506,43.884,4.195,287.416,8.967,9.448,259.781,3.688,304.754,9.944,9.556,607.84,4.691,725.871,25.469
106,4268.653,7.77,720.631,178.846,9672.593,321.913,5.467,286.976,2.342,35.313,154.812,0.996,306.414,6.778,13.234,28.565,1.305,304.839,7.482,20.743,253.217,1.007,288.642,2.449,15.457,310.038,4.688,725.869,25.497
107,4255.435,7.77,720.631,178.858,10012.127,304.919,8.888,309.944,10.495,22.275,133.616,5.638,316.28,7.903,16.452,10.134,4.168,287.162,7.378,12.026,256.248,4.549,291.116,8.736,20.528,745.815,7.441,709.291,27.406
108,4242.423,7.77,720.629,178.87,10015.101,301.944,8.883,309.941,21.093,17.579,127.723,5.63,316.28,9.688,14.924,9.886,4.16,287.161,9.035,13.084,253.547,4.535,291.119,10.636,18.761,745.687,7.433,709.291,33.533
109,4229.296,7.77,720.628,178.882,10015.247,301.788,8.885,309.937,21.135,17.93,127.335,5.627,316.278,9.726,14.982,9.794,4.159,287.158,9.073,13.444,253.154,4.534,291.115,10.675,18.811,745.602,7.432,709.288,33.561
