query_id,router_enqueue->router_dequeue,router_dequeue->worker_start,worker_start->worker_done,worker_done->router_recv_result,router_recv_result->router_enqueue
100,15091.42,23.304,2601.613,91.39000000000001,55.61
101,15076.028999999999,23.28,2601.612,91.613,58.141
102,15084.213999999998,11.824000000000002,2613.695,51.671,76.224
103,15793.599,19.958000000000002,2579.82,78.61800000000001,59.18600000000001
104,15774.789999999999,19.901000000000003,2579.819,83.734,63.672000000000004
105,15759.717999999999,19.878999999999998,2579.819,83.956,64.886
106,15799.738,13.684,2632.113,45.483000000000004,706.2529999999999
107,16400.25,21.39,2589.766,92.12700000000001,99.668
108,16383.198,21.34,2589.7659999999996,115.727,79.882
109,17093.981000000003,25.071,2581.336,103.63899999999998,95.455
110,17113.703,20.748,2573.053,101.718,89.265
111,17114.547000000002,23.783,2580.047,100.918,66.215
112,17097.014,23.746999999999996,2580.0460000000003,104.81,66.482
113,17846.73,22.059,2565.609,75.881,66.758
114,17847.247,20.268,2576.256,58.261,66.83699999999999
115,17808.140999999996,33.388,2571.935,82.37899999999999,59.57
116,17790.21,33.339,2571.936,84.94800000000001,61.822
117,18498.088,32.126,2584.145,76.676,63.288999999999994
118,18524.796000000006,12.565000000000001,2607.8179999999998,52.902,49.328
119,18544.216999999997,13.097,2575.143,56.815,44.903999999999996
120,18543.476,14.518999999999998,2552.927,59.69800000000001,50.556
121,19258.931000000004,15.772,2528.177,58.496,52.03
122,19146.165,12.209,2616.25,50.988,81.452
123,19135.146,25.055999999999997,2593.59,85.653,54.142999999999994
124,19116.101999999995,25.008000000000003,2593.58,88.98400000000001,56.925
125,19813.625,26.666,2601.856,82.315,58.547
126,19837.721999999998,13.350000000000001,2602.539,51.903,71.246
127,19815.246,23.558,2581.4040000000005,85.82499999999999,57.349999999999994
128,19800.450999999997,23.513999999999996,2581.404,89.911,54.92699999999999
129,20506.717000000004,22.525999999999996,2577.528,82.07300000000001,57.658
130,20495.177000000003,13.856000000000002,2587.559,53.459999999999994,67.867
131,20475.823999999997,21.048,2583.677,83.97999999999999,52.836
132,20463.32,20.998,2583.675,86.615,53.876999999999995
133,21165.048,20.311999999999998,2597.885,84.147,56.32299999999999
134,21189.755,12.371,2605.3109999999997,49.131,60.612
135,21169.327999999998,17.523999999999997,2570.9809999999998,72.618,73.172
136,21167.089,19.499999999999996,2567.048,79.752,56.855000000000004
137,21884.569,19.386,2574.157,74.344,55.664
138,21846.088000000003,11.712,2624.139,48.309,69.955
139,21817.711,19.73,2611.8559999999998,87.15599999999999,50.459
140,21798.65,19.684,2611.8559999999998,89.611,54.192
141,22517.057999999997,19.392,2610.5640000000003,83.812,58.724
142,22551.485,14.056999999999999,2609.078,53.396,53.273
143,22485.230000000003,17.442,2649.569,61.048,54.781000000000006
144,22501.461000000003,17.849999999999998,2610.531,68.884,56.188
145,23219.813000000002,17.421,2586.888,73.019,52.283
146,23232.261000000002,11.527,2577.4869999999996,59.81700000000001,61.178
147,23174.636,19.427,2609.412,73.102,52.757000000000005
148,23156.204999999998,19.383,2609.412,79.846,51.287000000000006
149,23905.798000000003,20.255,2586.767,69.756,53.291
150,23855.435999999998,13.043,2630.739,55.119,76.314
151,23848.021,21.692,2616.1,80.21,51.808
152,23832.715,21.643,2616.103,84.21100000000001,50.025
153,24540.042999999998,18.68,2598.1549999999997,76.112,56.39
154,24564.176999999996,12.043,2602.014,49.601,55.071000000000005
155,24572.077,13.583,2569.404,57.914,56.602000000000004
156,24554.462999999996,15.768000000000002,2565.621,63.775000000000006,56.841
157,25256.162999999997,15.953,2581.375,62.331,54.678000000000004
158,25266.002,10.100999999999999,2561.4,48.982000000000006,78.848
159,25216.531,19.965000000000003,2575.23,82.04599999999999,58.583
160,25198.743999999995,19.921,2575.2300000000005,87.63600000000001,57.906000000000006
161,25919.498,20.644,2556.385,78.94300000000001,59.541
162,25869.496999999996,12.411000000000001,2611.618,58.28200000000001,76.15299999999999
163,25843.605,19.147000000000002,2609.6319999999996,77.178,65.161
164,25827.087000000003,19.102,2609.631,81.285,64.71000000000001
165,26526.950999999997,18.658,2609.0899999999997,76.034,66.426
166,26548.023,11.059,2604.656,47.849000000000004,77.738
167,26568.577,19.453,2553.943,79.523,54.532
168,26550.138,19.405,2553.942,82.14200000000001,56.742000000000004
169,27249.171999999995,19.4,2553.67,77.943,57.708
170,27249.798000000003,12.809000000000001,2588.239,56.056000000000004,45.381
171,27231.398,14.66,2581.924,60.894000000000005,50.604
172,27222.463,16.712,2563.237,69.287,53.936
173,27924.003,16.143,2564.0969999999998,66.199,50.54299999999999
174,27922.533999999996,11.945,2568.983,51.702,63.825
175,27898.837,16.578,2564.4030000000002,75.33200000000001,50.478
176,27877.926999999996,16.919000000000004,2561.5060000000003,81.888,54.196000000000005
177,28582.623999999996,17.54,2585.7090000000003,75.605,52.372
178,28585.866,11.492,2589.9739999999997,50.635999999999996,69.258
179,28550.085,19.855,2589.045,83.04500000000002,51.535
180,28529.264,19.811,2589.045,87.314,54.82
181,29254.613999999998,24.997999999999998,2567.206,80.52000000000001,56.977999999999994
182,29251.81,16.907,2606.429,55.555,48.587
183,29227.07,18.134,2608.567,62.173,50.362
184,29201.251999999997,20.808999999999997,2604.914,70.936,55.275
185,29910.841999999997,15.633999999999999,2607.0730000000003,68.682,52.751
186,29937.33,11.247,2554.6279999999997,50.586999999999996,75.608
187,29866.663,20.364,2577.727,97.79400000000001,65.479
188,29852.407,20.311999999999998,2577.7290000000003,103.965,61.215
189,30554.172,19.285,2572.935,93.37299999999999,66.53899999999999
190,30546.408000000003,10.677,2633.427,62.752,53.521
191,30534.428,11.634,2620.5389999999998,66.804,59.383
192,31246.052999999996,17.677999999999997,2612.5170000000003,68.81700000000001,68.774
193,31229.913999999997,17.628,2612.518,95.747,58.077999999999996
194,31228.358,14.058,2614.485,76.844,64.62400000000001
195,31207.182,19.981,2607.7470000000003,97.526,54.75899999999999
196,31935.972999999998,19.592,2590.918,89.066,54.166000000000004
197,31918.712000000003,19.546999999999997,2590.92,97.983,58.086999999999996
198,31867.969,11.465,2644.111,58.55800000000001,89.624
199,31864.168999999998,21.738000000000003,2634.253,85.738,53.145
200,32569.263000000003,21.073,2635.7580000000003,83.897,55.397
