query_id,router_dequeue_0,router_dequeue_1,router_enqueue_0,router_enqueue_1,router_recv_result_0,router_recv_result_1,worker_done_0,worker_done_1,worker_start_0,worker_start_1
143,1607205842483757,1607205992748096,1607205836873732,1607205991523945,1607205844382542,1607205993996483,1607205843740983,1607205993993616,1607205842497258,1607205992760877
144,1607205842483759,1607205994023618,1607205836885646,1607205992779860,1607205844382558,1607205995248378,1607205843740985,1607205995245536,1607205842497260,1607205994036234
145,1607205842483761,1607205995278219,1607205836897501,1607205994055550,1607205844382575,1607205996508736,1607205843740985,1607205996505995,1607205842497261,1607205995291732
146,1607205842483763,1607205996539667,1607205836909284,1607205995308453,1607205844382592,1607205997765029,1607205843740986,1607205997762220,1607205842497262,1607205996553084
147,1607205842483764,1607205997792312,1607205836921132,1607205996570768,1607205844382610,1607205999017093,1607205843740987,1607205999014305,1607205842497264,1607205997804223
148,1607205842483766,1607205999046842,1607205836932914,1607205997822264,1607205844382627,1607206000273506,1607205843740988,1607206000270697,1607205842497265,1607205999059967
149,1607205842483768,1607206000303332,1607205836945089,1607205999076792,1607205844382644,1607206001524756,1607205843740989,1607206001520259,1607205842497266,1607206000320443
150,1607205844381953,1607206001552269,1607205836956505,1607206000324352,1607205846258551,1607206002807545,1607205845642054,1607206002803871,1607205844395788,1607206001564351
151,1607205844381962,1607206002844828,1607205836968109,1607206001585999,1607205846264763,1607206004089976,1607205845642057,1607206004084605,1607205844395794,1607206002859210
152,1607205844381964,1607206004122623,1607205836979967,1607206002891388,1607205846264780,1607206005382696,1607205845642058,1607206005379777,1607205844395796,1607206004136710
153,1607205844381966,1607206005406606,1607205836991890,1607206004159125,1607205846264813,1607206006663416,1607205845642059,1607206006660704,1607205844395798,1607206005430959
154,1607205844381967,1607206006694447,1607205837003646,1607206005431458,1607205846264833,1607206007937415,1607205845642060,1607206007933122,1607205844395800,1607206006709448
155,1607205844381969,1607206007967258,1607205837015584,1607206006716271,1607205846264851,1607206009216345,1607205845642061,1607206009211640,1607205844395802,1607206007980527
156,1607205844381971,1607206009240188,1607205837027237,1607206007993165,1607205846264870,1607206010495535,1607205845642063,1607206010492509,1607205844395804,1607206009256167
157,1607205844381973,1607206010523050,1607205837039172,1607206009263392,1607205846264888,1607206011758115,1607205845642063,1607206011755129,1607205844395807,1607206010539485
158,1607205844381975,1607206011786250,1607205837051223,1607206010546606,1607205846264906,1607206013033991,1607205845642064,1607206013029677,1607205844395808,1607206011802049
159,1607205844381978,1607206013056131,1607205837062974,1607206011812933,1607205846264932,1607206014317291,1607205845642065,1607206014314442,1607205844395811,1607206013072013
160,1607205844381983,1607206014344599,1607205837074796,1607206013079484,1607205846264950,1607206015585091,1607205845642066,1607206015582486,1607205844395813,1607206014358780
161,1607205844381986,1607206015611842,1607205837086773,1607206014367267,1607205846264967,1607206016853229,1607205845642067,1607206016850390,1607205844395815,1607206015626476
162,1607205844381987,1607206016880011,1607205837098371,1607206015634511,1607205846264986,1607206018122148,1607205845642068,1607206018119409,1607205844395820,1607206016894313
163,1607205844381990,1607206018152589,1607205837110431,1607206016903031,1607205846265004,1607206019413380,1607205845642069,1607206019410514,1607205844395822,1607206018166920
164,1607205844381991,1607206019443125,1607205837122210,1607206018171995,1607205846265023,1607206020686063,1607205845642069,1607206020683299,1607205844395824,1607206019465286
165,1607205844381993,1607206020735067,1607205837133951,1607206019465700,1607205846265044,1607206021987431,1607205845642070,1607206021979727,1607205844395825,1607206020748851
166,1607205844381995,1607206022013985,1607205837145751,1607206020775492,1607205846265061,1607206023301956,1607205845642071,1607206023299187,1607205844395828,1607206022027454
167,1607205844381998,1607206023328083,1607205837157885,1607206022050192,1607205846265080,1607206024619063,1607205845642072,1607206024614613,1607205844395830,1607206023342009
168,1607205844382000,1607206024645215,1607205837169274,1607206023364793,1607205846265098,1607206025916425,1607205845642073,1607206025913599,1607205844395832,1607206024659752
169,1607205844382001,1607206025941735,1607205837181160,1607206024668168,1607205846265127,1607206027196747,1607205845642073,1607206027190665,1607205844395834,1607206025958150
170,1607205844382003,1607206027223527,1607205837193139,1607206025964851,1607205846265143,1607206028509162,1607205845642076,1607206028506408,1607205844395836,1607206027239354
