query_id,router_dequeue_0,router_dequeue_1,router_enqueue_0,router_enqueue_1,router_recv_result_0,router_recv_result_1,worker_done_0,worker_done_1,worker_start_0,worker_start_1
100,1607204640720507,1607204642150583,1607204588382528,1607204642017500,1607204642007949,1607204643375063,1607204642001978,1607204643369192,1607204640721521,1607204642152573
101,1607204640720520,1607204642150596,1607204588394209,1607204642017700,1607204642010108,1607204643377589,1607204642001982,1607204643369196,1607204640721524,1607204642152576
102,1607204642009959,1607204643377488,1607204588406233,1607204643354818,1607204643345165,1607204644602041,1607204643339079,1607204644595231,1607204642015063,1607204643380200
103,1607204642009971,1607204643377496,1607204588417760,1607204643355217,1607204643347340,1607204644602249,1607204643339083,1607204644595234,1607204642015066,1607204643380203
104,1607204643347188,1607204644685549,1607204588429659,1607204644682124,1607204644672326,1607204645965916,1607204644657045,1607204645963324,1607204643350331,1607204644687730
105,1607204643347200,1607204645968022,1607204588441754,1607204644685771,1607204644674525,1607204647193999,1607204644657049,1607204647188371,1607204643350334,1607204645969643
106,1607204644674370,1607204647199670,1607204588452947,1607204646025786,1607204646016926,1607204648458820,1607204646001778,1607204648452057,1607204644675358,1607204647202114
107,1607204644674382,1607204647199683,1607204588464727,1607204646026175,1607204646019056,1607204648464234,1607204646001782,1607204648452061,1607204644675361,1607204647202116
108,1607204646018907,1607204648464079,1607204588476731,1607204647368208,1607204647358921,1607204649698058,1607204647347980,1607204649693190,1607204646019947,1607204648465916
109,1607204646018919,1607204648464092,1607204588488418,1607204647368598,1607204647361078,1607204649701498,1607204647347984,1607204649693209,1607204646019950,1607204648465919
110,1607204647360929,1607204649701331,1607204588500013,1607204648683394,1607204648673849,1607204650929399,1607204648659193,1607204650924498,1607204647361991,1607204649703417
111,1607204647360941,1607204649701344,1607204588511880,1607204648683593,1607204648675998,1607204650933374,1607204648659196,1607204650924502,1607204647361993,1607204649703420
112,1607204648675834,1607204650933214,1607204588523794,1607204650033605,1607204650024249,1607204652162888,1607204650010502,1607204652158058,1607204648676849,1607204650935294
113,1607204648675846,1607204650933226,1607204588535833,1607204650033800,1607204650026422,1607204652167135,1607204650010506,1607204652158061,1607204648676851,1607204650935297
114,1607204650026277,1607204652166958,1607204588547112,1607204651379571,1607204651369924,1607204653401582,1607204651355991,1607204653391325,1607204650027177,1607204652168954
115,1607204650026289,1607204652166973,1607204588559229,1607204651379770,1607204651372131,1607204653404908,1607204651355994,1607204653391328,1607204650027179,1607204652168957
116,1607204651371985,1607204653404765,1607204588570647,1607204652729234,1607204652719300,1607204654705454,1607204652705304,1607204654700651,1607204651372985,1607204653406504
117,1607204651371997,1607204653404778,1607204588582218,1607204652729650,1607204652721494,1607204654708809,1607204652705307,1607204654700654,1607204651372987,1607204653406507
118,1607204652721326,1607204654708666,1607204588593851,1607204654070496,1607204654061007,1607204655928722,1607204654050375,1607204655924133,1607204652722398,1607204654710733
119,1607204652721340,1607204654708679,1607204588605856,1607204654070904,1607204654063135,1607204655931970,1607204654050378,1607204655924137,1607204652722400,1607204654710735
120,1607204654062976,1607204655931803,1607204588617493,1607204655376396,1607204655366858,1607204657152116,1607204655352949,1607204657147371,1607204654064097,1607204655933615
121,1607204654062988,1607204655931815,1607204588629336,1607204655376802,1607204655369012,1607204657155634,1607204655352953,1607204657147374,1607204654064100,1607204655933617
122,1607204655368860,1607204657155476,1607204588641383,1607204656719339,1607204656710044,1607204658375086,1607204656695894,1607204658370296,1607204655369867,1607204657157519
123,1607204655368873,1607204657155489,1607204588652995,1607204656719740,1607204656712211,1607204658378497,1607204656695898,1607204658370299,1607204655369869,1607204657157522
124,1607204656712050,1607204658378341,1607204588664730,1607204658053947,1607204658044552,1607204659593427,1607204658033269,1607204659587251,1607204656713077,1607204658380077
125,1607204656712062,1607204658378353,1607204588676448,1607204658054332,1607204658046685,1607204659598914,1607204658033272,1607204659587256,1607204656713080,1607204658380080
126,1607204658046531,1607204659598755,1607204588688550,1607204659354058,1607204659344679,1607204660835136,1607204659329724,1607204660830191,1607204658047668,1607204659601040
127,1607204658046543,1607204659598768,1607204588700229,1607204659354445,1607204659346880,1607204660838916,1607204659329728,1607204660830195,1607204658047670,1607204659601042
128,1607204659346729,1607204660838757,1607204588711842,1607204660684589,1607204660675167,1607204662056290,1607204660665409,1607204662051469,1607204659347724,1607204660840762
