query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1
100,12192.359,3.155,1258.822,50.625,11646.903,1242.911,13.806,1238.638,26.629
101,12180.525,3.153,1258.822,50.644,11647.332,1242.464,13.806,1238.637,26.658
102,13481.07,3.43,1262.577,46.119,11585.888,1270.82,3.106,1254.31,2.486
103,13469.301,3.425,1262.58,48.933,12880.195,1267.52,10.952,1234.805,22.233
104,13457.388,3.423,1262.579,48.953,12881.875,1265.829,10.946,1234.806,26.151
105,13445.111,3.42,1262.579,48.972,12883.574,1264.113,10.946,1234.804,26.18
106,13433.969,3.42,1262.58,48.986,12885.132,1262.541,10.944,1234.804,26.205
107,13422.113,3.418,1262.579,49.001,12885.244,1262.415,10.943,1234.804,26.23
108,13410.551,3.416,1262.578,49.017,12885.413,1262.242,10.933,1234.803,26.253
109,13398.672,3.415,1262.577,49.033,12885.804,1261.836,10.932,1234.803,26.274
110,14701.671,2.788,1255.332,47.619,12849.202,1264.688,6.219,1227.408,2.462
111,14689.837,2.784,1255.332,51.163,14137.733,1239.549,10.997,1235.647,28.223
112,14677.966,2.782,1255.332,51.192,14139.301,1237.96,10.993,1235.649,32.956
113,14666.196,2.78,1255.332,51.217,14140.917,1236.32,10.993,1235.648,32.997
114,14654.183,2.779,1255.331,51.242,14142.268,1234.947,10.991,1235.648,33.032
115,14642.284,2.778,1255.332,51.263,14142.465,1234.733,10.987,1235.648,33.064
116,14630.37,2.776,1255.331,51.288,14142.51,1234.665,10.987,1235.646,33.096
117,14618.678,2.758,1255.331,51.309,14142.73,1234.426,10.985,1235.646,33.127
118,15915.877,3.629,1259.819,45.724,14076.21,1271.495,8.841,1239.13,2.55
119,15904.434,3.624,1259.817,48.521,15372.948,1264.401,13.998,1245.396,21.802
120,15892.405,3.621,1259.817,48.542,15374.767,1262.57,13.994,1245.394,25.078
121,15880.374,3.62,1259.815,48.562,15377.231,1260.088,13.994,1245.393,25.094
122,15868.562,3.618,1259.814,48.581,15378.91,1258.391,13.994,1245.392,25.109
123,15857.246,3.617,1259.813,48.599,15380.949,1256.335,13.994,1245.391,25.124
124,15845.375,3.615,1259.813,48.616,15381.054,1256.215,13.994,1245.389,25.138
125,15833.714,3.613,1259.812,48.633,15381.348,1255.905,13.996,1245.386,25.152
126,17133.759,3.03,1253.22,44.86,15343.845,1276.903,10.445,1224.049,2.506
127,17121.843,3.026,1253.219,48.467,16644.169,1254.206,12.282,1233.026,24.498
128,17109.94,3.024,1253.219,48.5,16646.064,1252.291,12.274,1233.024,29.366
129,17097.46,3.023,1253.218,48.526,16647.618,1250.714,12.272,1233.023,29.397
130,17086.338,3.021,1253.218,48.556,16648.878,1249.427,12.27,1233.022,29.422
131,17074.105,3.02,1253.218,48.574,16649.121,1249.168,12.269,1233.02,29.447
132,17062.904,3.018,1253.218,48.591,16649.547,1248.729,12.265,1233.02,29.47
133,17050.88,3.018,1253.217,48.607,16649.594,1248.668,12.264,1233.019,29.492
134,18343.356,2.513,1246.819,47.215,16610.039,1266.495,3.539,1240.325,2.595
135,18331.591,2.506,1246.82,50.197,17898.585,1283.527,13.687,1241.965,23.457
136,18319.829,2.503,1246.82,50.218,17900.986,1281.117,13.68,1241.963,28.053
137,18307.99,2.5,1246.82,50.236,17906.402,1275.687,13.677,1241.962,28.083
138,18296.238,2.497,1246.82,50.255,17908.286,1273.787,13.676,1241.96,28.109
139,18284.464,2.495,1246.82,50.273,17908.528,1273.529,13.675,1241.959,28.132
140,18272.645,2.492,1246.821,50.29,17908.597,1273.446,13.673,1241.957,28.156
141,18260.602,2.49,1246.819,50.308,17909.014,1273.019,13.669,1241.954,28.179
142,19548.218,3.09,1250.952,46.449,17890.832,1274.497,3.825,1228.9,2.539
