query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1
100,4259.024,13.155,1245.368,601.093,94609.73,1276.697,13.914,1218.508,3.019
101,4247.326,13.155,1245.368,601.111,95909.052,1228.148,11.775,1214.673,2.605
102,4234.587,13.155,1245.367,601.132,97162.246,1232.456,13.681,1216.28,7.922
103,4223.361,13.155,1245.366,601.149,98420.048,1238.764,14.157,1263.756,2.805
104,4211.291,13.156,1245.365,601.163,99681.704,1272.077,14.334,1218.046,4.957
105,4199.286,13.156,1245.364,601.176,100976.496,1242.703,14.052,1241.71,2.776
106,4188.184,13.157,1245.363,601.189,102241.039,1263.009,13.967,1214.103,4.948
107,4176.356,13.157,1245.362,601.201,103530.587,1224.629,12.101,1239.238,2.725
108,4164.525,13.157,1245.36,601.218,104777.792,1259.235,14.026,1221.383,5.391
109,4152.621,13.157,1245.361,601.239,106059.456,1245.674,14.097,1244.725,2.691
110,4140.58,13.157,1245.359,601.257,107328.005,1253.57,13.77,1217.497,2.714
111,4128.848,13.157,1245.358,601.274,108604.109,1239.211,14.133,1216.134,2.742
112,4117.125,13.157,1245.358,601.289,109865.035,1238.881,14.042,1208.142,2.785
113,4105.179,13.157,1245.357,601.305,111126.152,1217.241,14.025,1213.742,2.725
114,4093.482,13.158,1245.356,601.322,112365.635,1235.626,13.818,1212.638,5.115
115,4081.484,13.154,1245.356,601.338,113632.877,1227.568,14.007,1241.849,4.626
116,4069.713,13.153,1245.356,601.356,114888.788,1246.897,13.662,1233.223,2.725
117,4057.891,13.153,1245.355,601.372,116164.763,1248.371,13.976,1224.995,2.955
118,5905.351,13.511,1243.739,635.117,115544.104,1246.936,14.312,1215.082,2.708
119,5893.592,13.505,1243.739,641.149,116815.696,1216.225,13.72,1231.84,3.258
120,5881.745,13.505,1243.738,641.166,118079.286,1233.015,14.026,1219.382,3.763
121,5869.841,13.505,1243.738,641.191,119358.468,1216.873,13.984,1210.633,5.101
122,5857.766,13.505,1243.737,641.212,120610.386,1216.134,14.066,1226.422,2.973
123,5846.006,13.503,1243.737,641.23,121861.162,1230.438,14.041,1245.843,6.215
124,5817.222,13.504,1243.736,641.247,123123.085,1260.892,13.773,1231.412,2.943
125,5817.126,13.503,1243.735,641.273,124429.281,1221.888,14.108,1211.564,2.868
126,5811.286,13.505,1243.736,641.284,125679.71,1229.287,12.759,1212.787,4.942
127,5799.078,13.505,1243.735,641.296,126932.068,1223.2,12.31,1252.739,2.898
128,5787.289,13.504,1243.734,641.309,128182.244,1256.793,20.994,1216.598,4.546
129,5775.301,13.504,1243.734,641.327,129469.925,1235.85,19.612,1233.032,5.122
130,5763.412,13.504,1243.733,641.342,130729.862,1257.447,12.925,1233.248,2.628
131,5751.467,13.505,1243.732,641.358,132016.662,1237.108,12.505,1209.577,4.878
132,5739.953,13.504,1243.732,641.377,133286.142,1211.956,12.557,1230.282,4.566
133,5728.107,13.504,1243.731,641.392,134530.46,1245.397,12.962,1227.535,2.693
134,5716.293,13.503,1243.73,641.409,135800.804,1242.168,15.137,1229.229,2.935
135,5704.546,13.503,1243.729,641.428,137067.341,1248.127,13.05,1206.781,2.79
136,5692.401,13.504,1243.728,641.444,138338.845,1223.058,11.849,1203.634,2.94
137,5681.014,13.502,1243.728,641.46,139592.195,1212.581,12.721,1207.513,2.73
138,5669.124,13.502,1243.728,641.478,140836.177,1216.785,17.849,1229.926,2.796
