query_id,router_enqueue->router_dequeue,router_dequeue->worker_start,worker_start->worker_done,worker_done->router_recv_result,router_recv_result->router_enqueue
100,52471.062,3.004,2497.076,11.842,9.551
101,52459.207,2.984,2497.078,16.519,7.592
102,53626.396,7.816000000000001,2539.047,12.896,9.653
103,53614.490000000005,7.802,2539.048,15.271999999999998,7.877
104,54920.954000000005,5.324,2582.308,17.873,9.798
105,56187.697,4.755,2525.443,23.104,11.246
106,57395.307,3.432,2576.3630000000003,21.911,8.86
107,57383.163,3.412,2576.366,29.447000000000003,7.119
108,58638.047,2.877,2555.307,15.809000000000001,9.287
109,58625.994999999995,2.8579999999999997,2555.324,21.383,7.52
110,59878.852999999996,3.1479999999999997,2518.283,19.557000000000002,9.545
111,59866.812,3.128,2518.285,25.674,7.595
112,61051.649,3.0949999999999998,2556.417,18.576999999999998,9.356
113,61039.439,3.076,2556.419,24.990000000000002,7.378
114,62266.552,2.896,2551.1850000000004,24.189999999999998,9.647
115,62254.263,2.874,2551.186,29.717,7.639
116,63476.869000000006,2.739,2626.466,18.799,9.934
117,63464.907,2.7190000000000003,2626.4669999999996,24.342,8.156
118,64765.645,3.1390000000000002,2541.3770000000004,15.221,9.489
119,64753.259,3.116,2541.38,20.59,7.769
120,66000.89,2.933,2502.608,18.654,9.538
121,65988.66500000001,2.914,2502.61,24.319000000000003,7.79
122,67163.614,3.05,2538.804,18.94,9.295
123,67151.627,3.029,2538.806,24.511,7.529
124,68371.714,2.763,2527.366,17.459,9.395
125,68359.635,2.745,2527.368,25.070999999999998,7.647
126,69602.678,3.422,2511.2070000000003,19.9,9.379
127,69590.637,3.401,2511.2110000000002,25.873,7.565
128,70789.05500000001,3.0,2528.392,14.578999999999999,9.422
129,70776.73599999999,2.98,2528.395,20.533,7.624
130,72038.92599999999,9.447,2529.83,11.158999999999999,9.342
131,72026.71100000001,9.426,2529.833,16.691,7.597
132,73251.854,6.289,2511.587,27.698,9.462
133,73239.754,6.268999999999999,2511.59,30.098,7.644
134,74494.362,3.418,2577.625,18.11,9.419
135,75734.811,2.989,2544.0389999999998,20.054000000000002,10.959
136,76951.203,5.154,2547.065,19.85,8.852
137,76939.137,5.132,2547.068,25.750999999999998,7.111
138,78160.79299999999,3.721,2543.392,19.241,9.054
139,78148.50300000001,3.702,2543.395,25.541,7.285
140,79327.363,3.26,2585.4610000000002,19.041,9.365
141,79315.194,3.2399999999999998,2585.4629999999997,25.212,7.595
142,80576.22899999999,3.2729999999999997,2546.073,21.014,9.361
143,80564.13,3.253,2546.0739999999996,26.781,7.421
144,81817.52399999999,3.41,2560.12,19.476,9.617
145,81805.646,3.389,2560.1220000000003,25.22,7.629
146,83039.517,2.888,2539.0969999999998,26.908,9.538
147,83027.829,2.874,2539.099,33.007,7.538
148,84236.92,3.3129999999999997,2596.8140000000003,25.821,11.194
149,84224.502,3.2939999999999996,2596.819,33.067,7.764
150,85498.935,3.284,2544.499,17.117,9.519
151,85487.174,3.261,2544.501,24.655,7.527
152,86704.306,5.817,2563.2560000000003,21.5,14.398
153,86691.765,5.793,2563.259,27.395,12.796
154,87941.625,3.5860000000000003,2535.397,18.128,10.183
155,87929.15699999999,3.566,2535.398,23.680999999999997,8.474
156,89170.455,2.944,2507.6890000000003,22.809,10.681
157,89158.129,2.923,2507.691,29.448,8.975
158,90332.49,3.1790000000000003,2553.746,25.279000000000003,9.655
159,90319.876,3.157,2553.749,27.675,7.876
160,91643.81,3.0999999999999996,2559.7030000000004,19.758,9.472
161,92869.688,3.026,2545.58,22.875,9.405
162,94087.359,2.952,2572.494,22.413999999999998,9.155
163,94075.038,2.9320000000000004,2572.496,28.189,7.48
164,95320.744,3.532,2550.923,20.641,9.566
165,95308.569,3.513,2550.923,26.149,7.619
166,96532.913,3.1270000000000002,2554.823,18.73,9.229
167,96520.831,3.107,2554.825,24.336,7.406
168,97761.221,3.216,2539.342,24.450000000000003,9.775
169,97749.01299999999,3.197,2539.343,30.093999999999998,7.941
170,98955.45899999999,2.7859999999999996,2591.962,20.522000000000002,10.237
171,98943.02399999999,2.766,2591.965,26.195999999999998,8.594
172,100198.65,3.028,2562.642,25.89,9.5
173,100187.04,3.008,2562.645,31.457,7.521
174,101420.476,3.516,2612.208,16.093,9.674
175,101407.966,3.4979999999999998,2612.209,21.674,7.918
176,102722.94099999999,2.827,2507.9210000000003,25.256999999999998,9.848
177,102710.917,2.8049999999999997,2507.922,31.284999999999997,7.578
178,103884.326,3.157,2555.946,20.468,11.447
179,103871.921,3.135,2555.947,26.076999999999998,9.626
180,105099.66900000001,4.495,2539.001,20.073,10.221
181,105087.399,4.475,2539.004,25.557,8.547
182,106305.628,3.0589999999999997,2535.739,25.61,9.503
183,106293.41900000001,3.0380000000000003,2535.741,31.15,7.753
184,107508.528,3.21,2586.317,20.686,9.645
185,107496.264,3.19,2586.318,23.117,7.803
186,108809.10399999999,3.415,2548.1850000000004,18.704,9.712
187,110029.05200000001,2.498,2541.891,20.511,9.554
188,111246.009,2.793,2540.4790000000003,20.744,9.34
189,111233.879,2.771,2540.483,26.265,7.611
190,112446.25899999999,3.0409999999999995,2568.065,26.799,9.362
191,112434.33899999999,3.02,2568.069,32.656,7.462
192,113683.243,3.6189999999999998,2595.6180000000004,20.505,9.596
193,113671.09400000001,3.598,2595.619,26.080999999999996,7.863
194,114934.593,2.73,2550.456,20.016,9.492
195,114922.063,2.71,2550.458,25.662999999999997,7.689
196,116143.47899999999,2.9210000000000003,2543.9210000000003,20.102,9.372
197,116131.516,2.898,2543.922,25.756999999999998,7.6
198,117339.482,3.125,2581.766,19.589,16.903
199,117327.464,3.1079999999999997,2581.765,25.688000000000002,15.102
200,118588.688,3.251,2544.4120000000003,26.398,9.806
201,118576.391,3.229,2544.413,32.451,7.671
202,119799.92899999999,2.977,2593.192,18.116,9.335
203,119787.81199999999,2.9539999999999997,2593.194,24.217,7.477
204,121069.213,3.028,2522.0370000000003,26.182000000000002,9.422
205,121057.45,3.0060000000000002,2522.0389999999998,31.95,7.612
206,122234.62199999999,3.118,2620.303,20.907,9.9
207,122222.325,3.099,2620.307,26.498,8.134
208,123510.69099999999,4.31,2547.971,26.320999999999998,9.543
209,123498.34,4.291,2547.973,31.799999999999997,7.776
21,2.956,8.456,2472.5950000000003,10.047,8.006
210,124722.013,4.023,2601.813,21.628999999999998,9.926
211,124710.3,4.002,2601.815,24.006,7.981
212,125998.86,3.567,2565.766,19.304,9.441
213,127220.789,2.577,2565.4700000000003,21.426,9.417
214,128408.849,4.149,2604.68,20.853,9.245
215,128396.898,4.13,2604.68,26.509999999999998,7.205
216,129666.94900000001,2.8689999999999998,2560.5119999999997,22.627000000000002,9.195
217,129654.846,2.847,2560.517,28.192999999999998,7.596
218,130907.998,2.8129999999999997,2584.704,14.620999999999999,9.475
219,130895.801,2.792,2584.709,20.311999999999998,7.66
22,1209.0359999999998,2.648,2514.947,17.164,11.88
220,132191.35499999998,2.7720000000000002,2505.204,30.479999999999997,9.299
221,132179.21600000001,2.7479999999999998,2505.2070000000003,36.154,7.48
222,133354.172,3.102,2616.3500000000004,15.992,9.368
223,133341.916,3.082,2616.3559999999998,21.559,7.544
224,134666.919,3.305,2508.4970000000003,20.094,9.568
225,134654.788,3.284,2508.5,25.655,7.612
226,135879.288,2.818,2512.181,19.911,9.688
227,135867.05000000002,2.7960000000000003,2512.184,25.565,7.723
