query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1
100,96371.578,0.793,1235.654,8.012,6.507,8295.14,1.014,1329.347,2.854
101,97605.813,0.887,1260.224,5.234,6.24,8362.571,0.915,1331.36,2.678
102,98861.669,0.878,1215.699,2.585,6.759,8478.836,0.994,1332.743,2.475
103,100070.429,0.828,1192.436,2.766,6.167,8619.893,0.971,1334.71,2.431
104,101255.441,0.788,1190.82,7.667,6.333,8758.812,0.948,1333.473,2.587
105,102444.122,0.858,1234.688,4.747,6.28,8855.909,0.848,1328.11,2.401
106,103674.107,0.892,1218.727,4.899,6.615,8962.725,0.992,1329.128,2.452
107,104888.658,0.847,1217.121,2.729,6.555,9074.849,0.979,1327.511,2.521
108,106098.855,0.785,1190.345,2.654,6.408,9212.609,0.909,1330.989,2.427
109,107282.306,0.829,1192.425,6.885,6.825,9346.75,0.942,1332.77,2.543
110,108471.802,0.904,1238.279,4.903,6.989,9439.16,0.915,1331.708,2.516
111,109705.491,0.88,1216.094,5.032,6.658,9553.025,0.857,1358.97,2.717
112,110917.0,0.778,1216.011,5.698,6.752,9693.235,1.207,1332.934,2.49
113,112128.893,0.863,1219.322,5.287,6.735,9804.665,0.913,1337.487,2.39
114,113344.567,0.899,1213.929,2.596,6.957,9928.041,0.915,1334.077,2.615
115,114551.451,0.814,1188.407,2.448,6.468,10075.424,1.047,1373.04,2.503
116,115732.683,0.878,1190.459,9.802,6.612,10251.101,0.98,1336.059,2.471
117,116923.312,0.857,1249.443,4.494,6.368,10336.371,0.845,1333.825,2.419
118,118167.356,0.859,1215.133,4.421,6.802,10452.918,0.962,1331.365,2.519
119,119377.424,0.837,1216.414,2.551,6.881,10568.176,0.888,1343.898,2.756
120,120586.988,0.794,1222.346,2.718,11.917,10685.51,1.565,1331.239,2.564
121,121802.333,0.825,1193.933,8.579,7.075,10822.647,1.435,1329.044,2.558
122,122995.8,0.899,1252.595,4.91,6.746,10897.695,1.105,1325.993,2.545
123,124244.049,0.857,1218.066,2.709,6.685,11006.195,1.005,1330.915,3.328
124,125455.236,0.844,1198.729,2.786,6.628,11140.477,0.999,1326.042,2.8
125,126646.866,0.84,1236.434,6.19,6.961,11227.379,1.048,1331.498,2.897
126,127879.399,0.938,1231.568,6.844,6.623,11324.348,0.907,1332.682,2.71
127,129108.869,0.831,1229.747,5.034,6.659,11426.149,1.04,1333.436,2.904
128,130334.325,0.906,1215.747,4.814,6.795,11542.401,1.001,1328.771,2.934
129,131545.42,0.805,1220.938,7.379,6.837,11646.294,1.02,1329.941,3.034
130,132763.939,1.141,1232.76,4.383,6.652,11742.676,1.025,1327.23,2.747
131,133991.876,0.885,1211.697,2.625,6.477,11859.087,1.223,1338.735,2.694
132,135196.412,0.709,1186.852,2.654,6.381,12012.024,1.145,1335.069,2.535
133,136376.406,0.974,1189.474,4.662,9.086,12153.299,0.923,1332.07,2.767
134,137561.017,0.9,1209.334,5.211,6.87,12275.955,0.898,1334.416,2.498
135,138766.264,0.945,1215.374,2.585,7.052,12394.837,0.909,1326.945,2.654
136,139974.685,0.841,1191.871,2.654,7.0,12530.351,1.016,1330.126,2.732
137,141159.553,0.831,1194.575,6.264,7.13,12662.752,0.908,1329.21,2.81
138,142350.636,0.88,1219.452,5.699,7.688,12769.466,0.924,1330.097,2.659
139,143566.658,0.923,1213.097,4.785,6.691,12884.965,0.919,1329.806,2.653
140,144775.47,0.828,1211.417,2.76,6.717,13004.042,0.998,1331.227,2.677
141,145979.696,0.789,1188.535,2.675,7.302,13146.691,0.981,1329.945,2.861
142,147161.476,0.978,1196.699,5.252,7.011,13278.169,0.896,1331.725,2.741
143,148353.826,0.812,1220.901,4.798,7.807,13386.606,1.092,1330.255,2.717
144,149569.83,0.901,1213.888,4.88,7.499,13501.664,1.019,1331.901,2.384
145,150779.014,0.803,1215.716,7.685,6.809,13613.772,1.024,1328.049,2.599
146,151992.758,0.868,1235.515,5.239,7.126,13703.941,0.986,1331.178,2.844
147,153223.735,0.874,1212.88,2.823,7.094,13822.694,0.996,1335.189,2.85
148,154430.088,0.812,1191.704,2.815,7.617,13966.174,0.771,1351.972,2.958
149,155614.943,0.844,1191.024,9.453,7.004,14121.426,1.056,1328.81,2.735
150,156805.67,0.848,1256.484,4.565,7.0,14192.473,1.165,1322.232,2.959
151,158057.063,0.845,1257.02,8.138,6.942,14253.297,1.629,1327.322,2.682
152,159312.448,0.827,1284.45,4.503,6.909,14295.564,1.095,1357.46,2.989
153,160591.707,0.845,1259.15,2.738,6.829,14394.854,0.85,1323.645,2.948
154,161844.107,0.83,1226.427,4.656,6.605,14491.081,0.976,1329.573,2.995
155,163065.839,0.894,1210.191,4.792,6.17,14610.347,1.035,1332.235,2.248
156,164271.213,0.866,1215.448,3.05,6.948,14725.386,1.048,1333.139,2.767
157,165480.166,0.807,1187.698,2.826,6.325,14871.854,1.639,1329.494,2.551
