query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1
174,48907.85,1.791,1230.38,22.673,13.511,564.829,5.934,1221.988,18.002
175,48896.292,1.781,1230.395,25.833,11.55,563.626,5.924,1221.988,29.138
176,48884.646,1.776,1230.395,25.897,13.053,562.063,5.921,1221.987,29.188
177,48872.209,1.773,1230.395,25.939,13.372,561.708,5.915,1221.987,29.22
178,50117.986,1.788,1228.899,22.914,19.618,559.001,5.869,1222.854,14.23
179,50106.081,1.778,1228.9,26.044,20.135,555.364,5.86,1222.853,30.478
180,50094.099,1.774,1228.899,26.087,20.22,555.241,5.857,1222.852,30.508
181,50082.326,1.77,1228.899,26.119,20.489,554.943,5.854,1222.852,30.532
182,51327.047,1.82,1235.54,31.923,15.125,550.303,6.12,1229.898,15.719
183,51315.183,1.81,1235.542,36.257,12.681,548.418,6.115,1229.898,31.306
184,51303.03,1.806,1235.542,36.304,14.385,546.67,6.113,1229.897,31.345
185,51291.269,1.803,1235.541,36.341,14.701,546.32,6.11,1229.897,31.378
186,52550.935,2.188,1236.417,25.859,13.95,550.039,5.879,1224.348,16.242
187,52540.876,2.176,1236.416,29.063,12.172,548.624,5.87,1224.347,34.269
188,52529.13,2.172,1236.415,29.105,13.686,547.073,5.866,1224.346,34.298
189,52517.33,2.168,1236.415,29.143,13.819,546.905,5.863,1224.346,34.323
190,53772.356,1.834,1223.808,21.002,13.546,565.119,6.731,1242.68,16.368
191,53760.936,1.824,1223.809,24.222,11.553,563.901,6.724,1242.677,33.531
192,53749.125,1.821,1223.809,24.26,13.055,562.364,6.722,1242.676,33.571
193,53737.102,1.817,1223.808,24.296,13.44,561.947,6.72,1242.675,33.604
194,54975.15,1.681,1236.355,21.118,13.432,585.787,5.881,1255.116,13.803
195,54963.108,1.671,1236.357,24.28,12.283,583.784,5.87,1255.116,23.018
196,54951.117,1.667,1236.356,24.329,13.609,582.414,5.866,1255.116,23.057
197,54939.38,1.665,1236.355,24.363,13.937,582.056,5.863,1255.115,23.09
198,56189.887,1.744,1253.64,20.549,15.77,588.365,5.923,1219.947,15.974
199,56177.975,1.737,1253.639,23.846,12.62,588.227,5.918,1219.943,25.107
200,56166.017,1.733,1253.638,23.887,14.217,586.595,5.913,1219.942,25.147
201,56154.368,1.73,1253.638,23.924,14.771,586.007,5.91,1219.942,25.183
202,57421.597,1.77,1283.025,18.392,14.174,534.455,5.697,1222.707,16.439
203,57409.652,1.759,1283.026,21.701,12.734,532.596,5.688,1222.707,30.328
204,57397.651,1.755,1283.026,21.742,14.001,531.292,5.685,1222.706,30.356
205,57385.779,1.751,1283.026,21.785,14.321,530.933,5.681,1222.706,30.382
206,58680.335,1.633,1235.817,21.315,15.119,530.189,6.559,1230.632,17.608
207,58668.682,1.622,1235.819,24.49,13.656,528.483,6.553,1230.63,34.245
208,58656.76,1.618,1235.819,24.536,14.961,527.136,6.55,1230.629,34.274
209,58644.763,1.615,1235.818,24.599,15.268,526.769,6.549,1230.628,34.322
21,1.425,1.091,1237.217,2.351,9.225,1.452,1.976,1265.744,2.47
210,59894.837,1.853,1265.038,23.46,16.468,506.761,6.414,1268.615,22.356
211,59882.886,1.843,1265.04,28.353,13.442,504.9,6.408,1268.613,38.061
212,59871.178,1.839,1265.039,28.401,14.99,503.308,6.405,1268.614,38.099
213,59859.003,1.835,1265.039,28.445,15.126,503.131,6.403,1268.613,38.132
214,61142.344,1.69,1243.654,21.946,15.52,548.79,6.027,1253.296,18.751
215,61130.389,1.67,1243.656,25.035,13.816,547.414,6.02,1253.294,34.823
216,61118.441,1.667,1243.655,25.077,14.009,547.183,6.017,1253.292,34.853
217,61106.759,1.663,1243.655,25.116,14.409,546.747,6.015,1253.291,34.876
218,62365.171,1.775,1314.829,21.89,15.507,501.374,7.171,1228.87,15.313
219,62353.129,1.766,1314.83,25.004,12.541,501.233,7.167,1228.867,24.926
22,1233.33,8.419,1360.964,27.057,21.254,4.866,3.884,1256.261,5.672
220,62341.57,1.762,1314.83,25.051,13.901,499.829,7.165,1228.865,24.965
221,62329.631,1.759,1314.83,25.086,14.462,499.236,7.163,1228.864,24.998
222,63658.821,1.812,1269.631,23.05,17.923,462.308,5.511,1243.838,16.667
223,63647.251,1.803,1269.632,26.451,16.156,460.683,5.503,1243.836,34.354
224,63635.544,1.798,1269.632,26.495,18.11,458.689,5.499,1243.836,34.381
225,63623.654,1.795,1269.632,26.534,18.246,458.517,5.496,1243.836,34.405
226,64909.597,2.067,1242.842,21.866,15.657,478.085,6.746,1237.964,16.154
227,64897.304,2.059,1242.842,24.929,14.445,476.246,6.735,1237.966,34.946
228,64885.853,2.055,1242.842,24.976,15.885,474.764,6.731,1237.965,34.971
229,64874.327,2.051,1242.842,25.014,16.025,474.59,6.728,1237.963,34.992
23,1221.644,8.408,1360.967,30.321,25.391,1279.22,8.601,1271.979,14.793
230,66132.184,1.761,1271.647,18.579,14.105,464.263,11.728,1225.889,14.662
231,66120.181,1.751,1271.648,21.662,13.199,462.094,11.723,1225.886,34.443
232,66108.428,1.747,1271.648,21.713,14.578,460.667,11.721,1225.885,34.469
233,66096.634,1.744,1271.648,21.755,14.711,460.494,11.721,1225.883,34.492
234,67379.594,1.731,1241.45,22.373,13.388,468.414,10.51,1219.909,15.64
235,67367.752,1.72,1241.453,25.421,11.899,466.861,10.502,1219.908,31.865
236,67356.172,1.716,1241.453,25.465,13.325,465.394,10.5,1219.907,31.909
237,67344.44,1.712,1241.453,25.504,13.627,465.056,10.497,1219.907,31.944
238,68601.12,2.229,1277.712,20.673,13.105,427.294,5.636,1219.814,18.507
239,68589.219,2.219,1277.713,23.767,11.517,425.8,5.625,1219.813,33.77
24,1209.747,8.404,1360.967,30.359,25.602,1278.983,8.592,1271.979,34.986
240,68577.062,2.216,1277.712,23.808,11.834,425.447,5.62,1219.813,33.797
241,68565.621,2.212,1277.712,23.854,13.496,423.743,5.616,1219.813,33.821
242,69857.368,1.792,1264.39,20.827,13.166,396.374,6.655,1227.29,18.316
243,69845.052,1.774,1264.391,23.977,11.883,394.514,6.65,1227.287,33.504
244,69816.57,1.77,1264.391,24.018,12.022,394.338,6.647,1227.286,33.532
245,69815.296,1.762,1264.391,24.063,13.573,392.744,6.646,1227.285,33.557
246,71098.909,1.777,1269.239,18.591,13.943,370.307,6.449,1239.935,13.679
247,71086.677,1.767,1269.24,21.731,11.195,369.923,6.442,1239.933,29.232
248,71074.785,1.763,1269.24,21.768,13.869,367.215,6.44,1239.932,29.273
249,71062.895,1.76,1269.24,21.82,15.919,365.115,6.438,1239.932,29.306
25,1197.808,8.401,1360.968,30.39,26.026,1278.53,8.59,1271.978,35.012
250,72343.59,1.701,1235.907,18.801,13.44,386.849,5.911,1220.708,13.308
