query_id,router_enqueue->router_dequeue,router_dequeue->worker_start,worker_start->worker_done,worker_done->router_recv_result,router_recv_result->router_enqueue
100,26120.800000000003,8.862,2490.888,63.697,13.684
101,26108.905,8.854,2490.888,63.754,13.827
102,27345.169,20.221999999999998,2545.485,35.075,16.14
103,27331.499,20.205,2545.483,47.36,14.828
104,27319.056,20.198999999999998,2545.482,47.436,15.042
105,27306.71,20.192999999999998,2545.482,47.501999999999995,15.447
106,28612.492000000002,20.027,2497.324,39.361000000000004,13.629
107,28599.252,20.006,2497.325,56.301,12.023
108,28586.204,19.999,2497.324,56.378,13.251
109,28573.783,19.991,2497.3230000000003,56.444,13.582
110,29832.472999999998,8.262,2536.719,33.204,13.388
111,29819.21,8.24,2536.7200000000003,57.116,11.714
112,29805.447,8.231,2536.719,57.187,13.383
113,29793.489999999998,8.222999999999999,2536.719,57.245999999999995,13.526
114,31121.645,8.358,2467.174,34.608,13.169
115,31108.379,8.341000000000001,2467.172,53.101,11.343
116,31094.956000000002,8.332,2467.172,53.164,12.764
117,31082.944,8.328,2467.169,53.218999999999994,13.072
118,32304.782,8.464,2498.9719999999998,37.197,13.843
119,32291.48,8.449,2498.971,55.532,12.139
120,32278.086,8.442,2498.9700000000003,55.599000000000004,13.852
121,32266.033,8.436,2498.9700000000003,55.668,13.997
122,33515.231,8.335,2522.094,35.257,14.761
123,33502.14,8.318,2522.093,56.428,13.033
124,33489.028999999995,8.312000000000001,2522.092,56.497,14.272
125,33476.824,8.307,2522.0910000000003,56.555,14.657
126,34759.086,8.466000000000001,2495.272,34.598,15.934
127,34746.191,8.447,2495.273,54.138999999999996,13.303
128,34732.888,8.441,2495.272,54.217,14.763
129,34720.676,8.435,2495.2700000000004,54.293,15.062
130,35968.627,8.001000000000001,2501.748,34.876999999999995,13.716
131,35955.198,7.984,2501.746,53.489000000000004,12.152
132,35941.989,7.979,2501.745,53.568,13.357
133,35929.719,7.973,2501.7439999999997,53.668,13.667
134,37185.604,7.926,2491.561,38.415000000000006,13.446
135,37172.168,7.906,2491.561,60.620000000000005,11.914
136,37158.442,7.898000000000001,2491.5600000000004,60.691,13.567
137,37146.714,7.891,2491.559,60.763999999999996,13.697
138,38394.833999999995,8.022,2525.114,38.098,13.782
139,38381.42,8.003,2525.115,57.084,12.119
140,38368.316,7.997,2525.114,57.160000000000004,13.36
141,38355.799,7.99,2525.114,57.218999999999994,13.692
142,39635.44,7.973,2509.133,40.978,13.551
143,39622.174000000006,7.9559999999999995,2509.132,63.82900000000001,11.927
144,39609.088,7.9510000000000005,2509.1310000000003,63.897999999999996,13.149
145,39597.018,7.946000000000001,2509.13,63.956,13.495
146,40909.076,8.859,2477.813,41.245000000000005,13.397
147,40895.472,8.843,2477.812,59.905,12.051
148,40883.33,8.838000000000001,2477.8100000000004,59.976,12.195
149,40870.217000000004,8.833,2477.809,60.03,13.629
150,42101.278,8.085,2512.553,41.712,13.762
151,42088.323,8.069,2512.553,60.738,12.012
152,42075.386,8.063,2512.5510000000004,60.815999999999995,13.197
153,42063.243,8.056000000000001,2512.552,60.875,13.524
154,43340.83700000001,8.741999999999999,2495.3379999999997,38.354,13.952
155,43327.50399999999,8.727,2495.3360000000002,58.116,12.01
156,43315.574,8.719999999999999,2495.3360000000002,58.2,12.321
157,43301.745,8.714,2495.335,58.26,13.949
158,44592.111000000004,8.498,2472.066,32.309,13.601
159,44577.69300000001,8.481,2472.066,55.673,12.61
160,44564.368,8.473,2472.0649999999996,55.775000000000006,14.265
161,44551.86,8.468,2472.064,55.834,14.613
162,45818.848,8.506,2465.2290000000003,32.117999999999995,14.15
163,45805.640999999996,8.488,2465.2290000000003,50.947,12.306
164,45792.059,8.482,2465.227,51.016,14.001
165,45779.849,8.476,2465.227,51.1,14.395
166,47033.142,7.797,2463.423,33.756,14.202
167,47019.95,7.781,2463.424,52.663,12.365
168,47006.117999999995,7.776,2463.422,52.735,14.083
169,46994.195999999996,7.769,2463.422,52.821,14.444
170,48254.402,7.9079999999999995,2450.1059999999998,35.237,13.824
171,48241.26,7.890000000000001,2450.106,65.52600000000001,12.114
172,48227.647,7.884,2450.104,65.612,13.665
173,48215.51,7.877,2450.105,65.687,13.96
174,49472.679,7.725,2452.3680000000004,40.675,13.511
175,49459.918,7.705,2452.383,54.971000000000004,11.55
176,49446.709,7.697,2452.382,55.084999999999994,13.053
177,49433.917,7.688,2452.382,55.159,13.372
178,50676.986999999994,7.657,2451.7529999999997,37.144000000000005,19.618
179,50661.445,7.638,2451.753,56.522000000000006,20.135
180,50649.340000000004,7.631,2451.751,56.595,20.22
181,50637.269,7.6240000000000006,2451.751,56.650999999999996,20.489
182,51877.35,7.94,2465.438,47.641999999999996,15.125
183,51863.600999999995,7.925000000000001,2465.4399999999996,67.563,12.681
184,51849.7,7.9190000000000005,2465.439,67.649,14.385
