query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1
100,6012.673,7.69,1220.756,157.87,43027.61,1243.954,9.245,1220.578,21.561
101,6000.463,7.689,1220.755,157.898,43031.845,1239.693,9.244,1220.577,21.598
102,7374.88,7.854,1219.221,147.09,42914.181,1235.06,6.641,1218.644,2.729
103,7363.145,7.848,1219.218,151.244,44167.447,1244.483,10.146,1230.075,13.126
104,7351.292,7.845,1219.217,151.262,44174.428,1237.499,10.135,1230.073,25.02
105,7339.154,7.842,1219.216,151.281,44180.965,1230.948,10.131,1230.072,25.061
106,7327.969,7.84,1219.215,151.298,45429.951,1247.009,6.35,1241.673,2.895
107,7316.141,7.838,1219.213,151.315,46696.455,1265.63,9.759,1225.381,8.738
108,7303.815,7.835,1219.212,151.33,46703.161,1258.917,9.758,1225.377,18.381
109,7292.57,7.834,1219.21,151.354,46709.591,1252.464,9.763,1225.371,18.419
110,7280.481,7.83,1219.211,151.368,47979.95,1235.443,5.819,1218.77,5.161
111,7268.771,7.829,1219.208,151.384,49237.051,1248.45,10.041,1249.098,15.448
112,7256.709,7.827,1219.207,151.398,49244.274,1241.222,10.037,1249.095,26.867
113,7244.703,7.825,1219.206,151.412,49249.189,1236.295,10.037,1249.093,26.896
114,7233.056,7.823,1219.203,151.437,50499.915,1271.403,6.221,1251.219,3.051
115,7221.059,7.822,1219.201,151.451,51790.952,1295.079,9.774,1220.931,9.849
116,7209.434,7.818,1219.201,151.469,51795.173,1290.86,9.76,1220.927,24.557
117,7197.626,7.816,1219.2,151.49,51795.73,1290.291,9.752,1220.926,24.608
118,8563.75,7.899,1222.672,141.759,51733.383,1235.751,6.693,1227.764,6.484
119,8551.974,7.898,1222.67,150.457,52976.288,1262.212,9.947,1267.259,10.415
120,8540.041,7.898,1222.669,150.506,52986.943,1251.523,9.937,1267.256,20.363
121,8528.262,7.897,1222.668,150.535,52993.719,1244.723,9.933,1267.255,20.401
122,8516.153,7.897,1222.667,150.56,54254.292,1281.508,6.954,1250.803,2.466
123,8504.476,7.897,1222.665,150.588,55554.611,1278.307,15.674,1223.677,12.581
124,8492.737,7.896,1222.665,150.615,55561.374,1271.536,15.661,1223.674,25.717
125,8480.789,7.896,1222.664,150.64,55567.975,1264.915,15.657,1223.673,25.756
126,8468.667,7.897,1222.661,150.666,56851.21,1246.528,6.403,1248.803,4.495
127,8453.08,7.897,1222.66,150.69,58116.345,1277.12,9.756,1246.322,14.369
128,8445.283,7.897,1222.659,150.719,58124.236,1269.215,9.745,1246.321,23.038
129,8433.395,7.897,1222.658,150.744,58130.8,1262.63,9.742,1246.32,23.077
130,8421.623,7.896,1222.657,150.771,59415.687,1256.649,7.373,1266.966,2.785
131,8409.525,7.896,1222.655,150.797,60693.305,1292.299,9.981,1231.154,12.208
132,8398.038,7.896,1222.654,150.846,60701.33,1284.239,9.972,1231.151,21.845
133,8386.304,7.896,1222.653,150.869,60709.834,1275.716,9.97,1231.149,21.883
134,9755.105,12.459,1235.84,143.056,60612.894,1244.749,6.661,1223.404,2.869
135,9743.186,12.454,1235.836,147.276,61875.045,1253.383,9.698,1255.378,11.971
136,9731.337,12.451,1235.835,147.297,61880.314,1248.109,9.687,1255.375,22.302
137,9719.573,12.449,1235.834,147.324,61888.983,1239.417,9.685,1255.373,22.342
138,9707.542,12.446,1235.833,147.351,63147.118,1268.445,5.976,1238.304,2.674
139,9696.138,12.444,1235.832,147.369,64437.66,1255.467,10.223,1227.316,11.613
140,9684.11,12.443,1235.83,147.391,64441.02,1252.099,10.215,1227.312,22.993
141,9672.287,12.44,1235.83,147.409,64441.408,1251.698,10.211,1227.311,23.025
142,9660.636,12.427,1235.826,147.426,65707.269,1246.184,9.741,1226.872,2.574
143,9648.83,12.425,1235.825,147.444,66971.632,1259.786,9.588,1224.07,14.257
144,9636.912,12.423,1235.824,147.461,66972.401,1259.009,9.583,1224.069,23.345
145,9625.099,12.421,1235.823,147.478,66976.85,1254.545,9.583,1224.066,23.383
146,9613.282,12.418,1235.822,147.494,68244.779,1243.418,11.793,1245.136,2.617
147,9601.236,12.415,1235.82,147.522,69507.132,1278.363,8.489,1220.106,10.028
148,9589.577,12.413,1235.819,147.542,69507.278,1278.206,8.484,1220.104,19.085
149,9577.768,12.411,1235.818,147.557,69511.311,1274.159,8.483,1220.104,19.123
150,10961.302,7.682,1223.88,162.434,69405.291,1234.168,7.283,1229.193,2.686
151,10949.48,7.679,1223.878,165.881,70649.934,1261.763,9.78,1225.38,13.381
152,10937.721,7.679,1223.877,165.904,70654.651,1257.037,9.77,1225.378,23.003
153,10926.101,7.681,1223.874,165.93,70658.75,1252.918,9.766,1225.377,23.044
154,10914.005,7.681,1223.873,165.954,71926.058,1243.564,6.593,1246.643,4.626
155,10902.168,7.68,1223.873,165.973,73185.09,1262.267,8.313,1228.169,8.092
156,10890.487,7.682,1223.871,165.99,73195.783,1251.572,8.301,1228.168,21.57
157,10878.512,7.682,1223.869,166.008,73196.457,1250.885,8.299,1228.166,21.624
158,10866.595,7.682,1223.868,166.026,74460.973,1244.038,4.989,1225.338,4.588
159,10854.74,7.681,1223.867,166.044,75733.498,1252.245,9.815,1246.128,10.108
160,10842.956,7.681,1223.866,166.062,75737.543,1248.197,9.805,1246.126,20.297
161,10831.333,7.682,1223.865,166.079,75738.019,1247.709,9.801,1246.125,20.333
162,10819.807,7.684,1223.862,166.095,77004.189,1257.583,5.168,1218.012,5.128
163,10807.73,7.684,1223.861,166.112,78280.477,1250.879,9.553,1252.798,9.803
164,10795.835,7.684,1223.859,166.129,78284.874,1246.48,9.544,1252.796,18.195
165,10783.95,7.684,1223.859,166.146,78285.01,1246.33,9.542,1252.794,18.233
166,12169.351,10.872,1232.961,145.097,78155.584,1267.589,5.651,1219.88,3.056
167,12157.144,10.873,1232.957,148.543,79444.01,1237.542,9.672,1225.433,13.196
168,12145.515,10.873,1232.956,148.567,79444.577,1236.966,9.663,1225.43,21.468
169,12133.633,10.873,1232.956,148.585,79448.806,1232.723,9.659,1225.429,21.507
