query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1
100,52337.979,1.014,1280.457,5.971,9.551,133.083,1.99,1216.619,5.871
101,52326.311,1.004,1280.458,8.126,7.592,132.896,1.98,1216.62,8.393
102,53603.726,5.104,1324.016,6.086,9.653,22.67,2.712,1215.031,6.81
103,53592.211,5.095,1324.017,8.257,7.877,22.279,2.707,1215.031,7.015
104,54917.529,3.143,1306.714,15.281,9.798,3.425,2.181,1275.594,2.592
105,54905.446,3.134,1306.715,17.476,11.246,1282.251,1.621,1218.728,5.628
106,56221.423,0.988,1326.42,15.148,8.86,1173.884,2.444,1249.943,6.763
107,56209.655,0.979,1326.421,17.274,7.119,1173.508,2.433,1249.945,12.173
108,57542.176,1.04,1328.033,10.941,9.287,1095.871,1.837,1227.274,4.868
109,57530.501,1.031,1328.034,13.094,7.52,1095.494,1.827,1227.29,8.289
110,58860.916,1.062,1297.202,14.656,9.545,1017.937,2.086,1221.081,4.901
111,58849.061,1.052,1297.203,16.802,7.595,1017.751,2.076,1221.082,8.872
112,60152.04,1.015,1333.653,13.747,9.356,899.609,2.08,1222.764,4.83
113,60140.013,1.005,1333.655,15.916,7.378,899.426,2.071,1222.764,9.074
114,61479.165,0.9,1328.814,13.933,9.647,787.387,1.996,1222.371,10.257
115,61467.06,0.89,1328.815,16.137,7.639,787.203,1.984,1222.371,13.58
116,62801.338,1.0,1332.319,13.996,9.934,675.531,1.739,1294.147,4.803
117,62789.779,0.99,1332.32,16.187,8.156,675.128,1.729,1294.147,8.155
118,64127.475,1.072,1327.977,10.632,9.489,638.17,2.067,1213.4,4.589
119,64115.484,1.06,1327.978,12.757,7.769,637.775,2.056,1213.402,7.833
120,65445.483,1.121,1288.852,13.909,9.538,555.407,1.812,1213.756,4.745
121,65433.652,1.112,1288.853,16.059,7.79,555.013,1.802,1213.757,8.26
122,66727.477,1.007,1326.027,14.15,9.295,436.137,2.043,1212.777,4.79
123,66715.878,0.996,1326.029,16.313,7.529,435.749,2.033,1212.777,8.198
124,68047.32,1.027,1320.192,11.283,9.395,324.394,1.736,1207.174,6.176
125,68035.614,1.018,1320.192,13.413,7.647,324.021,1.727,1207.176,11.658
126,69357.981,1.137,1282.056,14.955,9.379,244.697,2.285,1229.151,4.945
127,69346.314,1.127,1282.058,17.152,7.565,244.323,2.274,1229.153,8.721
128,70634.887,0.995,1317.685,9.758,9.422,154.168,2.005,1210.707,4.821
129,70622.946,0.985,1317.687,11.943,7.624,153.79,1.995,1210.708,8.59
130,71941.688,1.068,1268.613,6.411,9.342,97.238,8.379,1261.217,4.748
131,71929.854,1.057,1268.615,8.546,7.597,96.857,8.369,1261.218,8.145
132,73195.672,4.514,1291.325,20.696,9.462,56.182,1.775,1220.262,7.002
133,73183.94,4.504,1291.327,22.891,7.644,55.814,1.765,1220.263,7.207
134,74490.908,1.063,1329.063,15.321,9.419,3.454,2.355,1248.562,2.789
135,74479.175,1.053,1329.064,17.457,10.959,1255.636,1.936,1214.975,2.597
136,75814.795,1.082,1328.49,15.287,8.852,1136.408,4.072,1218.575,4.563
137,75803.099,1.071,1328.492,17.407,7.111,1136.038,4.061,1218.576,8.344
138,77138.075,0.993,1326.834,14.524,9.054,1022.718,2.728,1216.558,4.717
139,77126.168,0.983,1326.836,16.684,7.285,1022.335,2.719,1216.559,8.857
140,78458.495,1.015,1364.198,14.3,9.365,868.868,2.245,1221.263,4.741
141,78446.708,1.005,1364.199,16.462,7.595,868.486,2.235,1221.264,8.75
142,79816.821,1.087,1327.502,10.959,9.361,759.408,2.186,1218.571,10.055
143,79804.907,1.078,1327.503,13.094,7.421,759.223,2.175,1218.571,13.687
144,81134.635,1.099,1293.121,14.339,9.617,682.889,2.311,1266.999,5.137
145,81122.942,1.089,1293.122,16.523,7.629,682.704,2.3,1267.0,8.697
146,82421.474,1.027,1325.096,14.685,9.538,618.043,1.861,1214.001,12.223
147,82409.982,1.016,1325.098,16.883,7.538,617.847,1.858,1214.001,16.124
148,83740.915,1.142,1328.959,20.094,11.194,496.005,2.171,1267.855,5.727
149,83728.875,1.132,1328.963,23.907,7.764,495.627,2.162,1267.856,9.16
150,85070.593,1.526,1335.463,7.841,9.519,428.342,1.758,1209.036,9.276
151,85059.021,1.512,1335.464,10.03,7.527,428.153,1.749,1209.037,14.625
