query_id,router_enqueue->router_dequeue,router_dequeue->worker_start,worker_start->worker_done,worker_done->router_recv_result,router_recv_result->router_enqueue
100,104666.718,1.807,2565.001,10.866,6.507
101,105968.38399999999,1.802,2591.584,7.912,6.24
102,107340.50499999999,1.8719999999999999,2548.442,5.0600000000000005,6.759
103,108690.322,1.799,2527.1459999999997,5.197,6.167
104,110014.25300000001,1.736,2524.2929999999997,10.254,6.333
105,111300.031,1.706,2562.798,7.148,6.28
106,112636.83200000001,1.884,2547.855,7.351,6.615
107,113963.507,1.826,2544.632,5.25,6.555
108,115311.46399999999,1.694,2521.334,5.0809999999999995,6.408
109,116629.056,1.771,2525.1949999999997,9.428,6.825
110,117910.962,1.819,2569.987,7.419,6.989
111,119258.51599999999,1.737,2575.0640000000003,7.7490000000000006,6.658
112,120610.235,1.985,2548.9449999999997,8.188,6.752
113,121933.55799999999,1.776,2556.809,7.677,6.735
114,123272.608,1.814,2548.0060000000003,5.211,6.957
115,124626.875,1.8609999999999998,2561.447,4.9510000000000005,6.468
116,125983.784,1.858,2526.518,12.273,6.612
117,127259.683,1.702,2583.268,6.913,6.368
118,128620.274,1.821,2546.498,6.94,6.802
119,129945.6,1.725,2560.312,5.307,6.881
120,131272.498,2.359,2553.585,5.282,11.917
121,132624.98,2.26,2522.977,11.137,7.075
122,133893.495,2.004,2578.5879999999997,7.455,6.746
123,135250.244,1.8619999999999999,2548.9809999999998,6.037,6.685
124,136595.71300000002,1.843,2524.7709999999997,5.586,6.628
125,137874.245,1.888,2567.932,9.087,6.961
126,139203.747,1.845,2564.25,9.554,6.623
127,140535.018,1.871,2563.183,7.938,6.659
128,141876.726,1.907,2544.518,7.748,6.795
129,143191.714,1.8250000000000002,2550.879,10.413,6.837
130,144506.61500000002,2.166,2559.99,7.13,6.652
131,145850.963,2.108,2550.432,5.319,6.477
132,147208.43600000002,1.854,2521.9210000000003,5.189,6.381
133,148529.705,1.897,2521.544,7.429,9.086
134,149836.97199999998,1.798,2543.75,7.7090000000000005,6.87
135,151161.101,1.854,2542.319,5.239,7.052
136,152505.036,1.857,2521.9970000000003,5.386,7.0
137,153822.30500000002,1.7389999999999999,2523.785,9.074,7.13
138,155120.102,1.804,2549.549,8.358,7.688
139,156451.623,1.842,2542.9030000000002,7.438000000000001,6.691
140,157779.512,1.826,2542.6440000000002,5.436999999999999,6.717
141,159126.387,1.77,2518.48,5.536,7.302
142,160439.645,1.874,2528.424,7.993,7.011
143,161740.432,1.9040000000000001,2551.156,7.515000000000001,7.807
144,163071.49399999998,1.92,2545.7889999999998,7.263999999999999,7.499
145,164392.786,1.827,2543.765,10.283999999999999,6.809
146,165696.699,1.854,2566.693,8.083,7.126
147,167046.42899999997,1.87,2548.0690000000004,5.673,7.094
148,168396.262,1.5830000000000002,2543.676,5.773,7.617
149,169736.369,1.9,2519.834,12.187999999999999,7.004
150,170998.143,2.013,2578.716,7.524000000000001,7.0
151,172310.36,2.474,2584.3419999999996,10.82,6.942
152,173608.01200000002,1.922,2641.91,7.492,6.909
153,174986.561,1.6949999999999998,2582.795,5.686,6.829
154,176335.188,1.806,2556.0,7.651,6.605
155,177676.18600000002,1.9289999999999998,2542.426,7.04,6.17
156,178996.599,1.9140000000000001,2548.587,5.817,6.948
