query_id,router_enqueue->router_dequeue,router_dequeue->worker_start,worker_start->worker_done,worker_done->router_recv_result,router_recv_result->router_enqueue
21,8.934000000000001,12.062999999999999,2713.583,20.567,30.458000000000002
22,8.888,26.464,2717.877,17.985999999999997,30.519999999999996
23,8.836,12.775,2728.918,19.955000000000002,29.893
24,9.121,13.702000000000002,2711.793,20.833999999999996,30.801000000000002
25,8.844,11.46,2669.1139999999996,22.665,30.083
26,9.041999999999998,11.479,2662.244,20.842,29.647
27,8.235,12.145,2643.33,22.77,28.997
28,9.054,12.783,2650.366,25.299000000000003,31.354999999999997
29,8.81,11.325,2668.741,22.288,30.347
30,9.046000000000001,11.64,2665.122,20.303000000000004,29.98
31,8.735,11.783000000000001,2655.116,20.896,30.54
32,8.870000000000001,11.032000000000002,2631.3869999999997,23.622,30.791999999999998
33,8.843,11.048,2683.859,22.975,29.631
34,8.889999999999999,11.069,2742.5280000000002,20.373,29.9
35,8.639000000000001,10.989999999999998,2677.192,17.219,29.801
36,8.988,11.440000000000001,2604.335,19.112,30.727999999999998
37,8.796,19.603,2660.558,21.698,30.082
38,8.99,11.600000000000001,2720.332,26.3,30.927
39,8.962,18.232999999999997,2704.0519999999997,18.577,43.885000000000005
40,8.759,12.027,2624.2729999999997,20.655,34.147
41,8.189,12.088,2625.1679999999997,24.202,30.679999999999996
42,8.972000000000001,12.757,2706.553,23.539,33.108
43,8.786999999999999,10.995000000000001,2696.483,16.79,31.836000000000002
44,9.07,11.509,2636.375,17.987000000000002,30.787
45,8.755,16.162,2647.7960000000003,20.645,32.208
46,9.293,11.677,2641.7070000000003,17.069,30.438
47,10.155000000000001,11.168,2611.928,20.828000000000003,34.031000000000006
48,9.604,17.735,2657.379,22.886,33.501
49,8.841,17.366999999999997,2701.49,20.009999999999998,31.965999999999994
50,8.981000000000002,15.755,2669.434,15.549000000000001,30.656999999999996
